id,session_id,session_type,session_title,session_hall,session_date,session_time_start,session_time_end,session_timezone,session_category,session_description,session_organized_by,session_chairs,session_presentations
261,606,ESCMID open meeting,Compromised Host Infections Study Group open meeting (ESGICH),,,,,CET,,"If you are interested in or a member of the ESCMID Study Group for Infections in Compromised Hosts (ESGICH), come and join their open business meeting",,"Elisa CORDERO MATIA, SpainESCMID official; Maddalena GIANNELLA, ItalyESCMID official; Michael G ISON, United StatesESCMID official; Nicolas MUELLER, SwitzerlandESCMID official; Monica SLAVIN, AustraliaESCMID official",
262,623,ESCMID open meeting,Vaccine Study Group open meeting (EVASG),,,,,CET,,"If you are interested in or a member of the ESCMID Vaccine Study Group, come and join their open business meeting",,"Olivier EPAULARD, FranceESCMID official; Zitta Barrella HARBOE, DenmarkESCMID official; Justyna KOWALSKA, PolandESCMID official; Manuel KRONE, GermanyESCMID official; Petar VELIKOV, BulgariaESCMID official",
263,608,ESCMID open meeting,Critically Ill Patients Study Group open meeting (ESGCIP),,,,,CET,,"If you are interested in or a member of the ESCMID Study Group for Infections in Critically Ill Patients (ESGCIP), come and join their open business meeting",,"Matteo BASSETTI, ItalyESCMID official; Hakan ERDEM, TürkiyeESCMID official; Stefan HAGEL, GermanyESCMID official; Despoina KOULENTI, United KingdomESCMID official; Jean-Francois TIMSIT, FranceESCMID official",
264,625,ESCMID open meeting,Epidemiological Markers Study Group open meeting (ESGEM),,,,,CET,,"If you are interested in or a member of the ESCMID Study Group for Epidemiological Markers (ESGEM), come and join their open business meeting",,"Sylvain BRISSE, FranceESCMID official; Natacha COUTO, United KingdomESCMID official; Benjamin Peter HOWDEN, AustraliaESCMID official; Angela NOVAIS, PortugalESCMID official; Sandra REUTER, GermanyESCMID official",
265,627,ESCMID open meeting,Veterinary Microbiology Study Group open meeting (ESGVM),,,,,CET,,"If you are interested in or a member of the ESCMID Study Group for Veterinary Microbiology (ESGVM), come and join their open business meeting",,"Els BROENS, NetherlandsESCMID official; Patrick BUTAYE, BelgiumESCMID official; Lina CAVACO, DenmarkESCMID official; Sally Jane CUTLER, United KingdomESCMID official; Ana VALE, IrelandESCMID official",
266,628,ESCMID open meeting,Brain Infections Study Group open meeting (ESGIB),,,,,CET,,"If you are interested in or a member of the ESCMID Study Group for Infectious Diseases of the Brain (ESGIB), come and join their open business meeting",,"Jacob BODILSEN, DenmarkESCMID official; Marion LE MARECHAL, FranceESCMID official; Marco Rinaldo OGGIONI, ItalyESCMID official; Reinout VAN CREVEL, NetherlandsESCMID official; Emma Cecilia WALL, United KingdomESCMID official",
267,629,ESCMID open meeting,Implant-associated Infections Study Group open meeting (ESGIAI),,,,,CET,,"If you are interested in or a member of the ESCMID Study Group for Implant-Associated Infections (ESGIAI), come and join their open business meeting",,"Craig ABOLTINS, AustraliaESCMID official; Jaime ESTEBAN, SpainESCMID official; Efthymia GIANNITSIOTI, GreeceESCMID official; Barbara HASSE, SwitzerlandESCMID official; Marjan WOUTHUYZEN-BAKKER, NetherlandsESCMID official",
268,643,ESCMID open meeting,Sexually Transmitted Infections Study Group open meeting (ESTISG),,,,,CET,,,,"Arjan HARXHIESCMID official; Justyna KOWALSKA, PolandESCMID official; Jean-Michel MOLINAESCMID official",
269,644,ESCMID open meeting,AI and Digitalisation Study Group open meeting (ESGAID),,,,,CET,,,,"Bram LESTRADE, NetherlandsESCMID official; Paula MÖLLING, SwedenESCMID official",
270,650,Special Session,Behind the scenes: Contagion,,,,,CET,,,,"William HANAGE, United StatesChair; Luigia SCUDELLER, ItalyChair",
271,579,Congress Event,Opening Ceremony,,,,,CET,,,,,
272,440,2-hour Oral Session,One Health means resistance everywhere,,,,,CET,03. Bacterial susceptibility & resistance,,,"Alessandra CARATTOLI, ItalyChair; Prasannakumar PALANIKUMAR, IndiaChair","Decoding the role of blaCPE-carrying plasmids on wings: A holistic view using the One Health approach [Sandra A. MARTÍNEZ-ÁLVAREZ, Spain] || A novel isolation room model leveraging culture-independent Hi-C metagenomics for tracking antimicrobial resistance transmission between patients and hospital environmental reservoirs [Vanessa KOH, Singapore] || Deciphering the pathogenic potentials and epidemiological identities of Staphylococcus pseudintermedius colonizing companion dogs in Sao Paulo [Ikechukwu Benjamin MOSES, Nigeria] || Recent progress towards integrated surveillance of antimicrobial resistance in France [Lucie COLLINEAU, France] || Exploring the plasmidome of 3rd generation cephalosporin-resistant Enterobacterales in wild birds: Insights into horizontal gene transfer and AMR dissemination [Bálint TIMMER, Hungary] || Emergence of mobile colistin resistance in Klebsiella at human-animal-environment interface in Bangladesh [Saifur RAHMAN, United Kingdom] || Unveiling the invisible: antimicrobial resistance genes and pathogenic microbial diversity in sewage of North India's largest industrial hub, A metagenomic perspective [Inderjit SINGH, India] || Culturomics as a tool for ONE HEALTH approach: Unveiling the role of unknown microorganisms as antibiotic resistance carriers in wastewater samples [Eleni OURANOU, Greece] || One Health intervention impacts on antibiotic resistance in Denmark, England and Senegal: A mathematical model comparison [Gwen KNIGHT, United Kingdom] || Clinically important sequence types and resistance genes in Enterobacteriaceae from coastal environments and gulls [Vanessa SILVA, Portugal]"
273,441,2-hour Oral Session,Translating metagenomics into clinical practice,,,,,CET,04. Diagnostic microbiology,,,"Benjamin Peter HOWDEN, AustraliaChair; Paula MÖLLING, SwedenChair","Nanopore metagenomic sequencing for rapid bloodstream infection diagnostics evaluated in a prospective observational study [Hans Linde NIELSEN, Denmark] || Interpretative Criteria for Adjudicating Clinical Significance to Next-Generation Sequencing Results from Bronchial-alveolar Lavage and Bronchial Wash. [Jose ALEXANDER, United States] || Implementing same-day respiratory metagenomic diagnostics in paediatric intensive care [Robbie HAMMOND, United Kingdom] || Detection of pathogenic microorganisms using metagenomic next-generation sequencing in ICU patients with ongoing antibiotic therapy [Torsten SCHROEDER, Germany] || Analysis of metagenomic pathogen detection compared to conventional diagnostics: clinical usage and relevance for patient outcomes [Ekkehard SIEGEL, Germany] || Same-day pan-microbial metagenomics for personalized therapy and pathogen surveillance on the intensive care unit: a single-centre prospective study [Luke Blagdon SNELL, United Kingdom] || Evaluation of the diagnostic efficacy of targeted next-generation sequencing in the detection of pathogens in bronchoalveolar lavage fluid from patients with lower respiratory tract infections in ICU [Bowen RAN, China] || Prognostic and diagnostic value of Next-generation sequencing in female reproductive tract infection and HPV persistence [Chunyan PENG, China] || A promising approach to rapid, non-culture diagnosis of invasive fungal infections (IFIs) by targeted next-generation sequencing (tNGS) [M. Hong NGUYEN, United States] || Implementation of Clinical Metagenomics in France: Insights from a Five-Years Study [Marion DUTKIEWICZ, France]"
274,442,1-hour Oral Session,New developements in prophylaxis and treatment of COVID-19,,,,,CET,01. Viral infection & disease (incl COVID-19),,,"Snjezana ZIDOVEC LEPEJ, CroatiaChair; Gülsen ÖZKAYA SAHIN, SwedenChair","Ensitrelvir for the prevention of COVID-19 among household contacts: key subgroup analyses of a randomized, double-blinded, placebo controlled post-exposure prophylaxis study, SCORPIO-PEP [Frederick HAYDEN, United States] || Efficacy of nirmatrelvir/ritonavir on overall COVID-19 related symptoms in immunocompromised adult participants from the EPIC-IC trial [Ruth MOKGOKONG, United Kingdom] || COVID-19 patients benefitting from remdesivir for improved survival: a neural network-based approach. [Tommaso Francesco AIELLO, Spain] || Efficacy and safety of sotrovimab vs oral antivirals in omicron waves: a retrospective analysis [Chiara CACACE, Italy] || Pharmacokinetics and immunogenicity of AZD7442 (Tixagevimab/Cilgavimab) in hospitalised COVID-19 patients: results from the DisCoVeRy trial [Clément MASSONNAUD, France]"
275,443,1-hour Oral Session,Advancing Malaria Research: From Molecular Insights to Clinical Challenges,,,,,CET,"07. Parasitic diseases, travel medicine & migrant health",,,"Kamruddin AHMED, MalaysiaChair; Giri Shan RAJAHRAM, MalaysiaChair","Influence of second blood meals on Plasmodium vivax development and infectivity in mosquitoes [Sirasate BANTUCHAI, Thailand] || Severe imported Plasmodium falciparum malaria with hyperparasitaemia: evaluation of predictors for critical disease [Tilman LINGSCHEID, Germany] || The current status of Plasmodium falciparum chloroquine resistance transporter gene (K76T) and Plasmodium falciparum multi-drug resistance gene 1 (N86Y) in Cameroon [Magdany FRU, Cameroon] || SOFA score vs WHO severity criteria to guide antimalarial treatment - 10 years of imported malaria cases in a UK tertiary centre reviewed. [Emmie SAVORY, United Kingdom]"
276,444,1-hour Case Session,Osteoarticular uninvited guests,,,,,CET,13. Case reports and case series (n less than 10),,,"Tiziana ASCIONE, ItalyChair; Jaime ESTEBAN, SpainChair","Antibiotic-refractory oligoarthritis in an adolescent caused by Borrelia bavariensis in Croatia [Nina KRAJCAR, Croatia] || Progression of vertebral echinococcosis despite radiotherapy treatment [Marta GONZÁLEZ-SANZ, Spain] || Two cases of septic osteoarthritis of Cutibacterium acnes detected by 16S rRNA gene sequencing in immunocompetent adolescents [Hideo OKUNO, Japan] || A UK case of Melioidosis with osteomyelitis two years after geographical exposure [Christopher DARLOW, United Kingdom] || When Infection Masquerades as Malignancy: A Case of Disseminated Mycobacterium fortuitum complex infection with Mixed Osteoblastic and Osteolytic Lesions and Lymphadenopathy in Anti-IFN-γ Immunodeficiency Syndrome [Napon HIRANBURANA, Thailand]"
277,445,1-hour Case Session,Antimicrobial drugs in action,,,,,CET,13. Case reports and case series (n less than 10),,,"Katy JEANNOT, FranceChair; Timothy R. WALSH, United KingdomChair","In vivo cefiderocol resistance due to cirA modification during treatment [Edoardo CARRETTO, Italy] || Long-term outcomes in dalbavancin-treated patients with vascular graft infection. [Antoine SPECKLIN, France] || Aztreonam, ceftazidime/avibactam, and tigecycline combination for the management of multi-drug resistant E.coli on peritonitis in a pediatric liver transplant recipient [Ronaldo MORALES JUNIOR, United States] || Early oral antibiotic treatment in patients with post-neurosurgical brain abscesses caused by Cutibacterium acnes – a case series [Mario KAROLYI, Austria] || Meropenem-vaborbactam as intrathecal-sparing therapy for the treatment of carbapenem-resistant K. pneumoniae shunt-related ventriculitis: two case reports. [Gabriele GIULIANO, Italy]"
278,446,1-hour Oral Session,Around the lab in 80 ways: a journey through innovative therapeutics,,,,,CET,"05. New antibacterial agents, PK/PD & Stewardship",,,"Zuzanna DRULIS-KAWA, PolandChair; Helena ZEMLICKOVA, Czech RepublicChair","In vivo expression of an mRNA encoded multi-mechanistic mAb combination against Staphylococcus aureus and protection in a disease model [Christine TKACZYK, United States] || Hijacking intrinsic resistance in Mycobacterium abscessus [Gregory PHELPS, United States] || Tripartite bacteriophage-based strategy to combat human clinical pathogens [Panos KALATZIS, Denmark] || Eosin Y and Ceragenin combinations for enhanced antimicrobial photodynamic therapy [Yamac TEKINTAS, Türkiye] || Identification of compounds capable of removing established bacterial biofilms [Thomas INZANA, United States]"
279,447,1-hour Oral Session,Climate Impact and One Health Approaches Against Infectious Diseases,,,,,CET,11. Public health & vaccines,,,"Chadia WANNOUS, FranceChair","Airborne Threats: Pollution, Climate, and Respiratory Infections in a Pyrenean setting: The Andorran hospital based respiratory perspective [Cristina ROYO-CEBRECOS, Andorra] || Effects of climate change on Aedes aegypti abundance and dengue transmission [Lin GENG, Singapore] || Impact of climate variables on Crimean-Congo hemorrhagic fever in Iran, Iraq, Kazakhstan, and Russia [Mohammad FEREIDOUNI, Iran, Islamic Republic Of] || Successful public health and one health response to a high pathogenicity avian influenza outbreak in poultry farms in Victoria, Australia: implications for future planning [Eugene ATHAN, Australia] || Turning disease surveillance into reality: Using metagenomic sequencing with piggery wastewater [Manavi MURALIDHAR, Australia]"
280,448,1-hour Oral Session,Viral challenges in organ transplantation,,,,,CET,10. Immune compromise & transplant ID,,,"Ghady HAIDAR, United StatesChair; Cristiana OPREA, RomaniaChair","Evaluation of an individualized CMV prevention strategy guided by post-transplant CMV-specific cell-mediated immunity in intermediate-risk kidney transplant recipients [Isabel RODRÍGUEZ-GONCER, Spain] || Real-world Use of Letermovir Prophylaxis for Cytomegalovirus (CMV) Prevention in Non-kidney Transplant Recipients [Abdallah MUGHRABI, United States] || Real-world administration of maribavir beyond the eight weeks established in the clinical trial [David MARTÍNEZ-SIMÓN, Spain] || Prediction of BK Polyomavirus nephropathy in kidney transplantation by measuring neutralizing responses in a large cohort of donor and recipients [Morgane SOLIS, France] || Dengue in solid organ transplant recipients [Santiago Iván GALIAN, Argentina]"
281,449,1-hour Case Session,Bad bacteria,,,,,CET,13. Case reports and case series (n less than 10),,,"Maristela P. FREIRE, BrazilChair; Siegbert RIEG, GermanyChair","Vancomycin Dependent Enterococci: An evolutionary dead end or the ultimate evolution of a superbug [Ruchika GUPTA (BAGGA), Canada] || Whipple's disease: one of medicine's great imitators [Saumiya KESAVAN, United Kingdom] || Phage Therapy as a Rescue Treatment for Recurrent Pseudomonas aeruginosa Bentall Infection [Victor EIFERMAN, France] || A clinical case of Legionella longbeachae pneumonia featuring unique epidemiological features in a major italian hospital [Silvia GUERRIERO, Italy] || Francisella tularensis – First autochthonous case in the UK [Gemma VANSTONE, United Kingdom]"
282,450,1-hour Oral Session,Battling the Spore: C. difficile epidemiology and management,,,,,CET,"08. Healthcare-associated infections, infection prevention & control",,,"Nicolas BENECH, FranceChair; Fidelma FITZPATRICK, IrelandChair","Molecular epidemiology and antimicrobial resistome of Clostridioides difficile from private and public healthcare settings in three provinces in South Africa [Hlambani SHIRINDA, South Africa] || Screening for Clostridioides difficile colonization at admission and during hospitalization [Nagham Léa KHANAFER, France] || Revolutionizing CDI treatment: Are shorter antibiotic regimens the future [Marek DURICEK, Czech Republic] || Extended-pulsed fidaxomicin versus conventional dosing in patients at high risk of recurrence of Clostridioides difficile infection [Elena RUBIO-MARTÍN, Spain] || Gut phageome profiling in Clostridioides difficile infection and faecal microbiota transplantation [Carmen CHEN, Switzerland]"
283,451,1-hour Oral Session,Microbiome Dynamics and Health: From Pathogenesis to Therapeutic Potential,,,,,CET,"09. Fundamental microbiology, pathogenesis & immunity to infection",,,"Mauricio FARFAN, ChileChair; Eija Inkeri KÖNÖNEN, FinlandChair","Multi-omics integrated analysis revealed the key role of Fusobacterium periodonticum in colorectal tumorigenesis by decanoic acid promoting neutrophil chemotaxis. [Xiaobing CHU, China] || Exploring the respiratory microbiome in COPD patients: The role of Haemophilus spp. in disease pathogenesis [Paula CAMPS-MASSA, Spain] || Using the in vitro MiGut system to simulate the ulcerative colitis microbiome and post-antibiotic recovery supported by a pre-defined consortium of microbes [Ines B. MOURA, United Kingdom] || Functional characterization of the Brazilian Yanomami microbiome along an urbanization gradient: Insights into the impacts of Westernization on human health [Marie THORP, Belgium] || Colonization resistance of the intestinal microbiota to multidrug-resistant bacteria? [Khanh VILLAGEOIS-TRAN, France]"
284,452,1-hour Oral Session,How to evaluate AMS programs,,,,,CET,"05. New antibacterial agents, PK/PD & Stewardship",,,"Esther CALBO, SpainChair; Sabiha ESSACK, South AfricaChair","Preference-based instrumental variables for estimating the causal effects of antibiotic prescribing decisions in common infections: Assessing potential validity using CPRD data [Nam NGUYEN, United Kingdom] || Novel antibiotic spectrum metrics to quantify the impact of antimicrobial stewardship: a multicentre study [Ben MOSHY, United Kingdom] || Utilizing a weighted-incidence syndromic antibiogram to evaluate antimicrobial therapies and resistance trends in community-acquired infections in a community teaching hospital [Vanthida HUANG, United States] || Capturing days of therapy per days of service as a stewardship tool to identify outliers in prescribing broad-spectrum antimicrobials in the hospital setting [Arielle HOPKINS, United States] || Timing of Novel β-Lactams vs. Alternatives in Hospitalized Patients with Gram-Negative Infections: Line of Therapy (LoT) Analysis Preliminary findings [Emre YUCEL, United States]"
285,453,1-hour Oral Session,Bacterial battles: a paediatric perspective on infections and interventions,,,,,CET,02. Bacterial infection & disease,,,"Angelika BERGERChair; Julie TOUBIANA, FranceChair","Strong Alignment Between National Standard Treatment Guidelines and WHO AWaRe Book Recommendations for Primary Care Pediatric Infections [Daniele DONA, Italy] || Correlation between antibiotic consumption and digestive colonization with multidrug-resistant Enterobacterales in a paediatric haematology department [Siwar FRIGUI EP OUESLATI, Tunisia] || Interleukin-6 as a diagnostic biomarker for sepsis in neonates, children and pregnant women – a real-world cohort study [Sean Olann WHELAN, Ireland] || Impact of rapid diagnostic stewardship interventions to reduce blood culture utilization in a pediatric medical center [Esther VAUGON, Canada] || Infective endocarditis: A Decade of Experience at a Tertiary Pediatric Care Centre [Maia DE LUCA, Italy]"
286,454,1-hour Oral Session,"Carbapenem resistance Gram-negatives, what's new in treatment?",,,,,CET,03. Bacterial susceptibility & resistance,,,"Maria Milagro MONTERO, SpainChair","Ceftriaxone sulbactam disodium EDTA combination(CSE) as a treatment option for carbapenem resistant gram negative bacilli - to be or not to be? [Yogita VERMA, India] || Sulbactam-durlobactam as an effective alternative option against NDM-producing Escherichia coli including cefiderocol and aztreonam-avibactam-resistant isolates in Swizterland [Christophe LE TERRIER, Switzerland] || Optimising Difficult-to-treat Gram-negative Bacterial Infection Outcomes with Personalised Fosfomycin-Based Combination Therapy Guided by in vitro Antibiotic Combination Testing [Tze-Peng LIM, Singapore] || Management of infections caused by ST308 New Dehli metallo-ß-lactamase-producing Pseudomonas aeruginosa with in vitro-guided combination antibiotic therapy [Jocelyn TEO, Singapore] || In vitro activity of cefepime/enmetazobactam against clinical isolates of Enterobacterales in Portugal: A multicentre retrospective study [Hugo CRUZ, Portugal]"
287,455,1-hour Oral Session,"Staphylococcus aureus: colonisation, virulence, and persistence",,,,,CET,"09. Fundamental microbiology, pathogenesis & immunity to infection",,,"Stefano GIULIERI, AustraliaChair","The nasal microbiome redefines and predicts Staphylococcus aureus nasal colonisation status [Dinesh AGGARWAL, United Kingdom] || Development of a Staphylococcus aureus human nasal colonisation model [Abdou HACHANI, Australia] || Selection-free, virulence gene promoter-controlled CRISPR interference system for in vivo pathogenesis study of Staphylococcus aureus - A proof of concept [Roni MIAH, Norway] || Placebo-controlled study of competitive exclusion using Lactococcus lactis to reduce transmission of LA-MRSA from pigs to humans [Birgitta DUIM, Netherlands] || Rifampicin-induced Staphylococcus aureus persister formation is driven by CodY and oxidative stress level [Nicola PORDONE, France]"
288,456,1-hour Oral Session,Unlocking the potential of the human microbiome for clinical diagnostics,,,,,CET,04. Diagnostic microbiology,,,"John W. A. ROSSEN, NetherlandsChair; Maria VEHRESCHILD, GermanyChair","Deep learning-enhanced wellness scores: Advancing gut microbiome-based health predictions [Ozkan Ufuk NALBANTOGLU, Türkiye] || Comparison of Second-Generation and Third-Generation Sequencing technologies for 16S rRNA amplicon-based gut microbiome analysis [Elisa RUBIO GARCÍA, Spain] || Donor for fecal microbiota transplantation: a challenging research. [Beatrice Silvia ORENA, Italy] || Antibiotic resistance genes diversity and antimicrobial effects in the vaginal microbiome during pregnancy [Nassim BOUTOUCHENT, France] || Distinct gut microbiota and metabolic profiles in brain tumor patients: Bridging microbial insights to CNS oncology [Aycan GUNDOGDU, Türkiye]"
289,457,2-hour Oral Session,"Unraveling respiratory viruses, 2025",,,,,CET,01. Viral infection & disease (incl COVID-19),,,"Eeva BROBERG, SwedenChair; Florian KRAMMER, United StatesChair","Human metapneumovirus infections in hospitalized adults compared to respiratory syncytial virus and influenza infections over ten years in France [Paul LOUBET, France] || Unveiling animal susceptibility to influenza viruses (H1N1(pdm09) and H5N1 HPAIV) using animal-derived respiratory organoids [Ferran TARRÉS-FREIXAS, Spain] || Exploring the impact of acute lung hypoxia on CD8 T cell phenotypes following severe influenza infection. [Brydie HUCKESTEIN, United States] || Virological characterisation of RSV after Nirsevimab Breakthrough Infections in a Multicentre Observational Real-world Study in France [Slim FOURATI, France] || Baseline immunity to highly pathogenic avian influenza viruses in a healthcare worker cohort [Corine GEURTS VAN KESSEL, Netherlands] || Impact of reinfection on post-acute sequelae of COVID-19 over multi-organ systems [Janice TAN, Singapore] || Clinical and economic burden of respiratory syncytial virus in adults with acute respiratory infections – a Danish nationwide cohort study [Stanislava BRATKOVIC, Denmark] || The burden of respiratory syncytial virus in children <3 years old presenting to primary, secondary and tertiary care in England: report from the STOP RSV prospective surveillance study [Emma CARTER, United Kingdom] || Targeted metagenomic sequencing of influenza, RSV, and symptomatic respiratory infections from UK healthcare workers [Marissa KNOLL, United Kingdom]"
290,458,2-hour Oral Session,Whole genome sequencing: tracking transmission and reservoirs in outbreaks,,,,,CET,"08. Healthcare-associated infections, infection prevention & control",,,"Eric CLAAS, NetherlandsChair; Paul G. HIGGINS, GermanyChair","From outbreaks to outcomes: Harnessing WGS for IPC in a high-risk paediatric setting [Nathaniel STOREY, United Kingdom] || Why do routine genome-oriented surveillance for Pseudomonas aeruginosa? [Anca RATH, Germany] || TreeTime estimation depicts transmission dynamics of clinical and environmental Pseudomonas aeruginosa from common reservoirs in healthcare environment through whole genome sequencing (WGS) [Özge YETIS, United Kingdom] || Understanding Serratia transmission during a neonatal ICU outbreak: A combined genotyping and risk factor analysis [Kaisa JAAKKOLA, France] || Genomic Insights into the Regional Transmission of KPC-Producing Bacteria: Clonal and Non-Clonal Plasmid Sharing [Chaitra SHANKAR, United States] || Genome-oriented analysis of the first outbreaks involving the novel Serratia sarumanii at a neonatal unit [Anca RATH, Germany] || Evaluating the Utility of Whole-Genome Sequencing to Optimise Infection Prevention and Control in a Hospital Setting: Findings from the GENOTIPE Study [James PRICE, United Kingdom] || Outbreak of Carbapenem-Resistant Acinetobacter seifertii in a Neonatal Intensive Care Unit: Genomic Characterization and Surveillance. [Dariane PEREIRA, Brazil] || Unveiling the Clonal Dynamics and transmission mechanism of Carbapenem-Resistant Klebsiella pneumoniae in the ICU environment [Xinhong HAN, China] || Survey of Infection Prevention staff perception of WGS integration into routine IPC practice [Dorothy LING, Australia]"
291,459,2-hour Oral Session,Making fast for making better: AMR rapid diagnostics,,,,,CET,03. Bacterial susceptibility & resistance,,,"Giulia DE ANGELIS, ItalyChair; Onur KARATUNA, SwedenChair","Point of care rapid lateral flow antibiotic resistance test to detect carbapenem resistance in lower respiratory tract infections [Julia ROGERS, United Kingdom] || Evaluation of a new rapid Lateral flow immunoassay for the detection of DHA-producing Gram-negative bacteria [Christian MOGUET, France] || The NitroSpeed Taniborbactam NP test; easy detection of β-lactamase sensitivity to taniborbactam [Otavio RARO, Switzerland] || Rapid detection of β-lactamase-mediated resistance to aminopenicillins from urines. [Patrice NORDMANN, Switzerland] || Rapid detection of antibiotic resistance in direct urine samples [Marit BOT, Netherlands] || Next-Generation Utilizer Dipsticks for direct-from-sample phenotypic Antibiotic Susceptibility Testing in UTIs [Emre ISERI, Sweden] || Screening for ceftriaxone-resistant Neisseria gonorrhoeae with the Urogenital and Resistance kit (AusDiagnostic) [Aymeric BRAILLE, France] || Comparative evaluation of rapid antimicrobial susceptibility testing assays for Gram-negative bacteria from positive blood cultures [Damiano SQUITIERI, Italy] || Rapid detection of Carbapenemases directly from positive blood culture bottle: A tool for early shifting from empirical to targeted therapy [Kanika CHAUDHARY, India]"
292,460,1-hour Oral Session,"Navigating disinfection challenges: resistance, outbreaks, and efficacy",,,,,CET,"08. Healthcare-associated infections, infection prevention & control",,,"Hillary A. CRADDOCK, IrelandChair; Stephanie J. DANCER, United KingdomChair","Prolonged disinfectant exposure impacts the antimicrobial resistance of healthcare-associated microorganisms: a systematic review [Ângela Rita FERNANDES, Portugal] || Sink-associated outbreak of verona integron-encoded metallo-??-lactamase-producing carbapenem-resistant Pseudomonas aeruginosa in a Dutch intensive care unit [Marieke VAN DEN BOS  KROMHOUT, Netherlands] || Carbapenemase-producing Enterobacterales outbreak control by replacement of toilets or long-term disinfection? A real-life experience. [Anne Line ENGSBRO, Denmark] || Tolerance of Klebsiella pneumoniae biofilms to disinfection with peracetic acid [Mardjan ARVAND, Germany] || Bringing balance to the formulation: disinfection efficacy and material compatibility [Jake JENNINGS, United Kingdom]"
293,461,1-hour Case Session,Unusual presentations of unusual parasites,,,,,CET,13. Case reports and case series (n less than 10),,,"Emmanuel BOTTIEAU, BelgiumChair; Marcelo Victor RADISIC, ArgentinaChair","Atypical neonatal cutaneous myiasis: a diagnostic challenge mimicking pustular rash in a resource-limited setting [Doris EKWEM AMARACHI, Uganda] || An itchy awakening due to Dermanyssus infestation [Jacques SEVESTRE, France] || Uterine Myiasis: A Rare Case of External Genitourinary Myiasis [Robert L. JOHNSON, United States] || Neurognathostomiasis Presenting with Cerebral Venous Sinus Thrombosis: A case report of rare clinical manifestation. [Chatrawee NORSUNGNERN, Thailand] || If at first, you don't succeed… Treatment-resistant Fascioliasis: case report [Winifred GARR, United Kingdom]"
294,462,1-hour Oral Session,Social behavioural dynamics of antibiotic use and AMR,,,,,CET,03. Bacterial susceptibility & resistance,,,"Sonia LEWYCKA, VietnamChair; Filippo MEDIOLI, ItalyChair","Investigating the Knowledge, Attitudes, and Practices around Antimicrobial Resistance and Stewardship Among Syrian Healthcare Professionals: A Cross-Sectional Survey [Aula ABBARA, United Kingdom] || Gamified Intervention to Enhance Antimicrobial Stewardship: Improving Knowledge and Practices on the Rational Use of Antimicrobials Among Medicines and Therapeutics Committee Members ??? [Sumana MAHADEVAIAH, India] || Healthcare providers' perspectives on antibiotic use and resistance in pregnancy, childbirth, and children under five years of age across four levels of hospitals in Lao PDR, 2024 [Sonephet VANTAVA, Lao People's Democratic Republic] || High gender gap in female labour force participation and reduced gender inequality linked to high antibiotic consumption: Evidence from a global analysis [Divija SAMRIA, India] || Gender gaps in knowledge of antibiotics and antimicrobial resistance: Evidence from India [Deepshikha BATHEJA, India]"
295,463,1-hour Oral Session,Vaccines and prophylaxis against respiratory viral infections,,,,,CET,11. Public health & vaccines,,,"Ana ATTI, United KingdomChair; Sophie SCHNEITLER, GermanyChair","Public health impact of universal prophylaxis with nirsevimab for prevention of infant hospitalizations due to respiratory syncytial virus. Full 2023-24 season analysis of the NIRSE-GAL study (www.nirsegal.es/en) [Federico MARTINÓN-TORRES, Spain] || Relative effectiveness of high-dose versus standard-dose quadrivalent influenza vaccine against hospitalizations and mortality according to Charlson Comorbidity Index: A post-hoc analysis of the DANFLU-1 randomized trial [Katrine FELDBALLE BERNHOLM, Denmark] || Relative vaccine efficacy of a SARS-CoV-2 spike receptor-binding and N-terminal domain COVID-19 vaccine versus mRNA-1273: subgroup analyses [Spyros CHALKIAS, United States] || Effectiveness of RSV vaccine in lung transplant recipients: neutralizing antibody response against reference and seasonal strains [Neta SHIRIN, Israel] || Novavax investigational COVID-19 Influenza Combination nanoparticle vaccine phase 2 study safety evaluation [Chijioke BENNETT, United States]"
296,464,1-hour Oral Session,Clinical studies in UTI,,,,,CET,02. Bacterial infection & disease,,,"Iva BUTIC, CroatiaChair; Paul Christoffer LINDEMANN, NorwayChair","Short versus long antibiotic treatment for pyelonephritis and complicated UTIs: an updated systematic review and meta-analysis of RCTs [Itay ZAHAVI, Israel] || Antibiotic treatment duration of complicated urinary tract infection patients in Europe: results from the Ecraid POS-cUTI study [Chantal J.A.R. KATS, Netherlands] || Prevalence and impact of multidrug resistance in a cohort of patients admitted to emergency department for urinary tract infections: the UTILITY study, a prospective multicentre study [Lorenzo ONORATO, Italy] || Weekly sequential antibioprophylaxis for UTI in neurogenic bladder [Ruxandra CALIN, France] || Evidence for the duration of antibiotic therapy for chronic bacterial prostatitis: a systematic review [Laura CORDES, Switzerland]"
297,465,1-hour Oral Session,Complexities of infections in solid organ transplantation,,,,,CET,10. Immune compromise & transplant ID,,,"Silvia CORCIONE, ItalyChair","Solid Organ Transplants from donors with positive blood cultures: watch out for carbapenem-resistant Enterobacterales [Andrea CONA, Italy] || Risk factors for carbapenem-resistant Enterobacteriaceae infection after orthotopic liver transplant in a large cohort of pre-transplant CRE carriers [Matteo RINALDI, Italy] || Serologic follow up of solid organ transplant recipients who receive organs from syphilis seropositive donors. [Oscar FERNANDEZ GARCIA, Canada] || Prophylaxis strategies and risk of cytomegalovirus in solid organ transplant recipients [Anja DAHL, Denmark] || Burden of non-microbiologically confirmed infections in solid organ transplant recipients [Ming ZOU, Switzerland]"
