ï»¿abstract_number,date,position,poster_id,presenter,row,sector,session,title,co_authors
"1378","12/04 12:00","29","P0413","Christina GRASSI","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Immunogenicity and safety of a SARS-CoV-2 N-terminal domain and receptor-binding domain monovalent XBB.1.5 vaccine in Japanese participants aged ≥12 years","C. Grassi|J. Feng|R. Wahid|B. Kandinov|S. Goel|D. Wang|K. Sellers|A. Dixit|O. Kogawara|R. Das|S. Chalkias"
"1406","12/04 12:00","30","P0414","Minkyeong LEE","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","The impact of convalescent immune reactions on long-term pulmonary sequelae in mild to moderate COVID-19 patients during active treatment era","M. Lee|D. Shin|H. Oh|S. Park|B. Park|C. Jeong|S. Lee|J. Kim"
"1425","12/04 12:00","31","P0415","Alain AMSTUTZ","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","JAK inhibitors in adults hospitalised due to COVID-19: individual participant data meta-analysis","A. Amstutz|S. Schandelmaier|T. Agoritsas|K. Tomashek|J. Arribas|Y. Yazdanpanah|K. Lacombe|M. Hites|F. Ader|E. Tacconelli|D. Costagliola|C. Rueegg|I. Olsen|M. Trøseid|M. Briel"
"1441","12/04 12:00","32","P0416","Marvin WEISS","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Benefits and risks of systematic screening for SARS-CoV-2 in asymptomatic hospitalised patients","S. Tschudin-Sutter|K. Leuzinger|M. Weiss|P. Urwyler|M. Von Rotz|R. Kuhl|S. Kuster|I. Vock|L. Aguilar-Bultet|C. Bagutti|K. Rentsch"
"1476","12/04 12:00","33","P0417","Irini ZOGRAFAKI","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Post pandemic burden of COVID-19 in ix European countries: a national surveillance analysis for 2023-2024 fall-winter season","I. Zografaki|R. Sini De Almeida|E. Froeling|D. Malhotra|D. Curcio|C. Reynard|K. Dragsbaek Moller|A. Boukhlal|A. Lopez|A. Pagliaro"
"1479","12/04 12:00","34","P0418","Lauren RODRIGUEZ","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Viral resistance analyses from the obeldesivir OAKTREE study in low-risk nonhospitalised patients with COVID-19","L. Rodriguez|Y. Hu|J. Li|D. Han|N. Peinovich|C. Martinez|P. Ho|J. Perry|R. Martin|O. Ogbuagu|A. Lichtman|J. Llewellyn|C. Hedskog"
"1564","12/04 12:00","35","P0419","David Chien LYE","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Risk of long-term complications following steroid treatment for COVID-19 in hospitalised Singaporean adults: a retrospective cohort study","L. Wee|E. Loy|J. Lim|A. Tay|C. Chiew|B. Young|D. Lye|K. Tan"
"1614","12/04 12:00","37","P0421","Javier MARTÍN-ESCOLANO","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Factors associated with the development of SARS-CoV-2 RNAemia at COVID-19 diagnosis","J. Martin-Escolano|A. Ruiz-Molina|J. Rodriguez-Bano|J. Cisneros|B. Gutiérrez-Gutiérrez|R. Alvarez-Marin|M. Aguilar-Guisado|S. Salto-Alejandre|E. Cordero|J. Pachon|J. Sánchez-Céspedes|G. Abelenda-Alonso|G. Euba|Z. Palacios-Baena|F. Arnaiz De Las Revillas|J. Alba|A. Rombauts|R. Rodriguez-Alvarez|N. Maldonado|C. González-Rico|S. Santibanez|M. Carretero-Ledesma|L. Merino|J. Carratalà|A. Goikoetxea-Agirre|M. Fernandez-Martinez|J. Oteo|C. Farinas|C. Rodriguez-Urbistondo|C. Infante-Dominguez"
"1626","12/04 12:00","38","P0422","Saeed SHAMS","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Investigating the prevalence of Streptococcus pneumoniae co-infection in patients with COVID-19 in the world: a meta-analysis study and systematic review","A. Hamta|S. Shams"
"1627","12/04 12:00","39","P0423","Mark BERRY","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Early vs late vs no remdesivir initiation in patients with immunocompromising conditions hospitalised with COVID-19","E. Lee|V. Shvachko|C. Nielson|K. Hurwitz|N. Rathnayaka|R. Faller|M. Abdelghany|M. Brookhart|A. Chokkalingam|M. Berry"
"1632","12/04 12:00","40","P0424","Choi Young JANG","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Development of a definition of post-acute sequelae of SARS-CoV-2 (PASC) in a Korean long COVID cohort by using machine learning","M. Kim|W. Kim|J. Son|E. Chang|C. Jang|S. Kim"
"1689","12/04 12:00","41","P0425","Charlotte HEDSKOG","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Viral resistance analyses from the obeldesivir BIRCH study in high-risk nonhospitalised patients with COVID-19","C. Hedskog|L. Rodriguez|Y. Hu|J. Li|D. Han|N. Peinovich|C. Martinez|P. Ho|J. Perry|J. González Del Castillo|Y. Koullias|R. Martin|J. Llewellyn"
"1740","12/04 12:00","42","P0426","Xuan Ying POH","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Antibody persistence against omicron subvariants induced by monovalent mRNA, bivalent mRNA or nuvaxovid vaccines: final results from Phase D of the PRIBIVAC study, a randomised clinical trial","X. Poh|A. Yeoh|S. Mah|J. Chavatte|D. Lim|H. Tang|C. Tan|S. Rao|P. Chia|S. Sadarangani|Y. Chin|L. Ng|L. Renia|R. Lin|D. Lye|L. Wang|C. Tan|B. Young"
"1788","12/04 12:00","43","P0427","Karolina AKINOSOGLOU","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Correlation of immune response with COVID-19 outcomes","V. Dimakopoulou|A. De Lastic|M. Rodi|A. Mouzaki|K. Akinosoglou|D. Georgakopoulou|V. Apostolopoulos"
"1813","12/04 12:00","44","P0428","Essy MOZAFFARI","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","SARS-CoV-2 infection and hospitalisations in the omicron era: triangulation of symptom onset, positive test, and vaccination","E. Mozaffari|N. Quignot|M. Bartoletti|N. Montano|G. Pesce|G. Gusto|M. Berry|T. Oppelt|A. Kalil|P. Loubet"
"1829","12/04 12:00","45","P0429","Tadas ALCAUSKAS","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Longitudinal analysis of antibody dynamics post-COVID-19 vaccination in the context of healthcare worker-driven COVID-19 transmission","V. Gurksniene|T. Alcauskas|F. Majauskaite|L. Jancoriene|J. Urboniene"
"1851","12/04 12:00","46","P0430","Sibra R.M. SHIHAB","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Comparative subgenomic RNA expression profiles in SARS-CoV-2 variants: insights from symptomatic and asymptomatic cases in Sri Lanka","B. Iqbal|S. Shihab|A. S. Abdeen|S. Arunasalam|T. Zhang|L. Poon|M. Peiris|F. Noordeen"
"1857","12/04 12:00","47","P0431","Sibra R.M. SHIHAB","9","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Uncovering mutational drivers of enhanced transmission in the B.1.411 SARS-CoV-2 lineage in Sri Lanka","B. Iqbal|S. Shihab|S. Arunasalam|A. Abdeen|T. Zhang|L. Poon|M. Peiris|F. Noordeen"
"1986","12/04 12:00","2","P0434","Maria FERNANDEZ","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Work productivity losses after COVID-19 infection among high-risk US patients with or without treatment with nirmatrelvir/ritonavir","M. Fernandez|B. Brady|K. Evans|A. Cha-Silva|R. Shah|G. Sidhu|P. Cislo|F. Ernst|J. Cappelleri|M. Chaudhary|E. Drabo|R. Mokgokong"
"2062","12/04 12:00","3","P0435","David SMITH","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Evaluating the efficiency of population-based infectious disease surveillance: a modelling study","D. Smith|S. Campbell|J. Robotham|S. Walker|K. Pouwels"
"2133","12/04 12:00","4","P0436","Berta PERNAS-SOUTO","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Changes in management of immunosuppressed patients with SARS-CoV-2 infection: impact on cure and mortality rates","B. Pernas|V. Balboa|F. Pena|J. Gutierrez|A. Pérez|S. Cabezal|A. Canosa|O. Porto|L. Gutierrez|E. Miguez"
"2173","12/04 12:00","5","P0437","Berta PERNAS-SOUTO","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Persistent SARS-CoV-2 infection among immunosuppressed patients: characterisation of subpopulations of lymphocytes","B. Pernas|B. Castelo|V. Balboa|D. Brandariz|F. Pena|A. Fernández|A. Alonso|R. Fernandez|J. Gutierrez|E. Miguez"
"2293","12/04 12:00","6","P0438","Yenan FENG","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Trends and impacts of SARS-CoV-2 genome sharing: a comparative analysis of China and the global community, 2020-2023","Y. Feng|S. Chen|A. Wang|Z. Zhao|C. Chen"
"2296","12/04 12:00","7","P0439","Jong Su JONG SU","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Fc-mediated effector functions in mild and severe COVID-19: focus on ADE and ADCP","K. Jong Su|C. Sungim|J. Hee Bum|K. Jisoo|K. Sung-Han|P. Seong-Yeon"
"2331","12/04 12:00","8","P0440","Cao CHEN","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","COVID-19 outbreaks caused by different SARS-CoV-2 variants: a descriptive, comparative study from China","C. Chen|Y. Feng|Z. Yin|M. Pang|Q. Shi|X. Ma|X. Dong"
"2415","12/04 12:00","9","P0441","Hamidi-Fard MOJTABA","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Impact of Lactobacillus gasseri on inflammatory responses in intestinal cells exposed to SARS-CoV-2","O. Khormaei|S. Mehrabian|M. Aghasadeghi|A. Akhavan|H. Mojtaba"
"2445","12/04 12:00","10","P0442","Sonsoles SALTO-ALEJANDRE","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Development and internal validation of a simplified scoring model with CURB-65 plus RNAemia for predicting mortality at diagnosis of SARS-CoV-2 pneumonia","S. Salto-Alejandre|C. Rodriguez-Urbistondo|J. Martin-Escolano|A. Ruiz-Molina|C. Infante-Dominguez|G. Abelenda-Alonso|M. Del Álamo|N. Maldonado|F. Arnaiz-De Las Revillas|J. Alba|A. Rombauts|R. Rodriguez-Alvarez|Z. Palacios-Baena|C. González-Rico|S. Santibanez|M. Carretero-Ledesma|L. Merino|B. Gutiérrez-Gutiérrez|M. Gozalo-Marguello|C. Farinas|J. Oteo|A. Goikoetxea-Agirre|J. Carratalà|J. Rodriguez-Bano|E. Cordero|R. Alvarez-Marin|M. Aguilar-Guisado|J. Cisneros|J. Pachon|J. Sánchez-Céspedes"
"2448","12/04 12:00","11","P0443","Georgios SCHINAS","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","The impact of baricitinib on systemic inflammation in COVID-19 and its association with prolactin: an exploratory analysis of interleukin levels","G. Schinas|E. Polyzou|A. Delastic|D. Georgakopoulou|T. Karampitsakos|T. Galanis|D. Velissaris|M. Marangos|A. Tzouvelekis|A. Mouzaki|K. Akinosoglou"
"2451","12/04 12:00","12","P0444","Muhammad Ismail BIN ABDUL MALEK","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","A nationwide cohort study of delta and omicron SARS-CoV-2 outcomes in older Singaporean adults stratified by frailty","M. Bin Abdul Malek|L. Wee|X. Loy|J. Lim|W. Kwok|C. Chiew|C. Lien|B. Rosario|Y. Leong|R. Merchant|D. Lye|K. Tan"
"2502","12/04 12:00","13","P0445","Huajie XU","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","SARS-CoV-2 infection and different-term thrombotic outcomes in patients with coronary atherosclerosis disease in China: a prospective cohort study","H. Xu|C. Zhixue|B. Hu"
"2510","12/04 12:00","14","P0446","Mohammadreza SHAFIEI","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Efficacy of HMG-CoA reductase inhibitors in hospitalisation and mortality of COVID-19 patients: a meta-analysis of randomised control trials","M. Shafiei|M. Keykhah"
"2536","12/04 12:00","15","P0447","Dominik DIETLER","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Trends in type 1 diabetes incidence between 2007 and 2023 and its association with SARS-CoV-2 infection in a population-based matched cohort study among individuals under 30 years in Sweden","D. Dietler|J. Björk|E. Palmkvist|A. Carlsson"
"2541","12/04 12:00","16","P0448","Sam MATTHEWS","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","A validated threshold of protection model for monoclonal antibody pre-exposure prophylaxis against COVID-19 enabling rapid development for future SARS-CoV-2 variants","R. Edge|S. Matthews|J. Pura|B. Ahani|A. Aksyuk|L. Clegg|M. Esser|L. Chang|I. Hirsch|T. Villafana|J. Perez|O. Stepanov|K. Streicher|T. White|T. Cohen|D. Follmann|P. Gilbert|S. Seegobin"
"2587","12/04 12:00","17","P0449","Ana ATTI","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Characterisation of serological response against SARS-CoV-2 throughout the pandemic within the UK-based SIREN study","A. Atti|E. Carr|F. Insalata|A. Otter|S. Foulkes|M. Wu|R. Beale|A. Charlett|S. Hopkins|V. Hall"
"2591","12/04 12:00","18","P0450","Chiara SINISCALCHI","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","MicroRNAs in SARS-CoV-2 infection: analysis of immunocompromised and non-immunocompromised patients","C. Siniscalchi|A. Di Fraia|M. Starace|C. Minichini|F. Fusco|S. Imbriani|C. Ricozzi|K. Gjeloshi|R. Astorri|A. Russo|C. Sagnelli|M. Pisaturo|N. Coppola"
"2626","12/04 12:00","19","P0451","Ruth MOKGOKONG","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Development of the long COVID/post-acute sequelae of COVID-19 (PASC) patient-reported outcome (PRO) instrument","D. Chandler|S. Tatlock|B. Abramoff|C. Bramson|J. Cappelleri|A. Chohan|M. Harrington|H. Jamal|J. Lusk|I. Mazar|R. Paredes|A. Ustianowski|E. Weinstein|R. Mokgokong"
"2682","12/04 12:00","20","P0452","Sonia LEWYCKA","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Impact of the COVID-19 pandemic on healthcare seeking and antibiotic prescribing for acute respiratory infection in primary care centres in Nam Dinh province, Vietnam: analysis of routinely collected electronic prescription data","S. Trinh|J. Chan|T. Vu|N. Do|M. Vu|Y. Nguyen|T. Vu|T. Nguyen|Q. Pham|D. Dang|H. Tran|T. Nguyen|H. Cao|D. Amin|T. Nguyen|T. Kesteman|J. Nuil|M. Chambers|T. Vu|H. Doorn|S. Lewycka"
"2699","12/04 12:00","21","P0453","Matthew ROUSCULP","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Relative effectiveness of COVID-19 vaccinations in immunocompromised individuals: a real-world study in South Korea","E. Gwak|S. Choe|M. Gschwend|J. Fix|M. Vadivale|M. Rousculp|Y. Choe"
"2726","12/04 12:00","22","P0454","Yi-Tsung LIN","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Clinical outcomes of immunocompromised patients using tixagevimab-cilgavimab as pre-exposure prophylaxis for COVID-19: real-world experience in Taiwan","Y. Wang|S. Liu|C. Chuang|C. Juan|Y. Lin|S. Chou|Y. Ho"
"2825","12/04 12:00","23","P0455","Violeta BRICIU","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Inflammatory biomarkers in hospitalised COVID-19 patients during different pandemic waves as predictors for outcome","V. Briciu|D. Leucuta|M. Muntean|C. Cismaru|A. Radulescu|L. Herbel|A. Topan|M. Horvat|M. Flonta|M. Calin|R. Dobrota|M. Lupse"
"2987","12/04 12:00","24","P0456","Malwina MEJER","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Impact of remdesivir in Portugal: enhancing healthcare capacity and outcomes in COVID-19","M. Mejer|L. Kilsdal|N. Siersbaek|J. Wahl"
"3015","12/04 12:00","25","P0457","Zhonghao WANG","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Increased MP/CP co-infection in COVID-19-positive kidney transplant recipients","Z. Wang"
"3044","12/04 12:00","26","P0458","Shinya TSUZUKI","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Impact of long COVID on health-related quality-of-life among Japanese adults: findings of CARE Japan study","S. Sultana|A. Yusuke|S. Tsuzuki|O. Norio|M. Nobuaki|I. Haruhiko|O. Anna|I. Shinichiro"
"3139","12/04 12:00","27","P0459","Zhangfan FU","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Exploring the role of LAMP1 (CD107a) and PDCD1 high Tfh cells in COVID-19 immunopathogenesis and vaccine response","Z. Fu|J. Guo|J. Ai"
"3187","12/04 12:00","28","P0460","Julien AUCLAIRE","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","SARS-Cov-2 evolution in patients with prolonged viral shedding","J. Auclaire|N. Dossou|I. Gaubert|E. Leperchois|J. Hamel|A. Vabret|S. Corbert|B. Leterrier|M. Ar Gouilh"
"3271","12/04 12:00","29","P0461","Ana ATTI","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Estimating population protection against emerging SARS-CoV-2 variants: a risk assessment utilising convalescent sera before the roll-out of XBB-lineage vaccines","A. England|J. Sung|S. Foulkes|J. Islam|A. Otter|K. Thomas|B. Hallis|S. Charlton|S. Hopkins|V. Hall|A. Atti"
"3315","12/04 12:00","30","P0462","Daniel PAN","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Understanding COVID-19 mitigation behaviours during the pandemic: comprehensive analysis from 12,626 healthcare workers","C. Martin|J. Nazareth|A. O'reilly|M. Gogoi|L. Bryant|A. Masood|J. Choi|L. Pi|L. Gray|M. Barer|D. Hollingsworth|L. Nellums|K. Woolf|M. Pareek|D. Pan"
"3352","12/04 12:00","31","P0463","Pamela HAWN","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Structure of VYD2311 & in vitro neutralisation against a panel of contemporary SARS-CoV-2 variants","D. Chupp|B. Williams|A. Kreher|J. Hourican|C. Powers|R. Martin|B. West|P. Hawn|F. Gao|R. Allen"
"3410","12/04 12:00","32","P0464","Sarah FOULKES","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Healthcare worker attitudes to lateral flow device testing and sick leave for influenza-like illness in the UK: a hypothetical scenario-based study","K. Munro|Q. Bustamante|L. Findlater|D. Sparkes|J. Rubin|A. Atti|S. Foulkes|S. Hopkins|V. Hall|J. Islam"
"3442","12/04 12:00","33","P0465","Emmanouil STYLIANAKIS","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Molecular pathways affected by anakinra treatment in patients with severe COVID-19: analysis of the SAVE-MORE trial","E. Stylianakis|G. Poulakou|S. Metallidis|H. Milionis|N. Keur|E. Taddei|G. Adamis|G. Dalekos|P. Panagopoulos|M. Netea|E. Giamarellos-Bourboulis|V. Kumar"
"3623","12/04 12:00","34","P0466","Craig WILLIAMS","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Non-invasive COVID-19 detection using FTIR spectroscopy and machine learning on nasopharyngeal and salivary samples","C. Williams|C. Meza|A. Segura|I. Rehman|G. Rozada"
"3629","12/04 12:00","35","P0467","Cindy M. LIU","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","The nasal microbiome modulates risk for COVID-19 infection","D. Park|M. Aziz|J. Salazar|T. Pham|S. Nelson|J. Villani|N. Weber|L. Price|B. Hungate|C. Liu"
"3649","12/04 12:00","36","P0468","Basant Mahmoud ABDELHAMID","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Screening of COVID-19 antibodies in recovered healthcare workers after thee months and after six months","B. Abdelhamid|M. Gaafar"
"3706","12/04 12:00","37","P0469","Chloe DAVISON","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","The effect of immunomodulatory therapy on the incidence of secondary bacterial and fungal infections of hospitalised COVID-19 patients in England, January 2020 – August 2023: a case-control study","C. Davison|R. Hope|C. Brown|L. Turtle|A. Ho|S. Gerver"
"3741","12/04 12:00","39","P0471","Nicole VAN DEN BRAAK","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Mental well-being and resilience during a pandemic: co-creating with students","S. Janssen|K. Verschueren|I. Bastiaanssen|G. Nagelhout|J. Nooij|N. Van Den Braak|E. Schrauwen"
"3757","12/04 12:00","40","P0472","Yong Yi TAN","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Risk of multi-systemic long-term sequelae following COVID-19 in older adults, stratified by frailty: a population-based cohort study","Y. Tan|E. Loy|J. Lim|C. Chiew|D. Chien|K. Tan|L. Wee"
"3759","12/04 12:00","41","P0473","Luca MADDALONI","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Different innate immune response in SARS-CoV-2 vaccinated and unvaccinated individuals with COVID-19","L. Maddaloni|G. Bugani|L. Santinelli|C. Mastroianni|G. Antonelli|C. Scagnolari|G. D'ettorre"
"3780","12/04 12:00","42","P0474","Irina LUT","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Evaluating blood sampling strategies in large-scale multi-site cohort studies: insights from the SIREN study","I. Lut|N. Hettiarachchi|D. Blick|A. Otter|S. Foulkes|J. Islam|S. Hopkins|V. Hall|A. Atti"
"3842","12/04 12:00","43","P0475","Janice TAN","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Risk of new-incident mental health diagnoses during COVID-19 and post-SARS-CoV-2 infection amongst children and young adults in Singapore: a retrospective cohort study","L. Wee|J. Lim|J. Tan|A. Yap|C. Chiew|T. Goh|S. Ong|C. Lim|D. Fung|D. Lye|K. Tan"
"3921","12/04 12:00","44","P0476","Janice TAN","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Long-term multi-systemic sequelae following hospitalisation for respiratory syncytial virus vs omicron SARS-CoV-2/influenza in Singaporean adults and children","L. Wee|R. Ho|J. Lim|J. Tan|C. Chiew|D. Lye|K. Tan"
"3998","12/04 12:00","45","P0477","Irini ZOGRAFAKI","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Understanding winter and summer surges of COVID-19 in the post pandemic period: a multinational analysis of surveillance data for 2023-2024","I. Zografaki|C. Reynard|J. Spinardi|S. Lopez|M. Mc Colgan|R. Sini De Almeida|D. Malhotra|D. Curcio"
"4025","12/04 12:00","46","P0478","Tanu BANSAL","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Analysing adaptive immune responses to BBV152 (Covaxin) and ChAdOx1 nCoV-19 (Covishield)","T. Bansal|T. Choudhury|H. Bhakhri|S. Reddipalli|K. Luthra|J. Kumar"
"4051","12/04 12:00","47","P0479","Arianna LIPPI","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Longitudinal humoral response to SARS-CoV-2 mRNA vaccines and boosters in heart and lung transplant patients","A. Lippi|C. Coppola|S. Costagli|F. Pierguidi|G. Montesi|M. Fabbiani|M. Zanchi|S. Bernazzali|D. Bennett|S. Lucchesi|J. Polvere|D. Medaglini|M. Tumbarello|A. Ciabattini|F. Montagnani"
"4056","12/04 12:00","48","P0480","Priscila TRINDADE","10","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Retrospective analysis of SARS-CoV-2 omicron variant prevalence over two years in southern Brazil","B. Piccoli|T. Y. Castro|B. Casarin|L. Tessele|A. Daneli|A. Seerig|A. Vieira|V. Santos|J. Kuhns|R. Marchesan|A. Schwarzbold|P. Trindade"
"4097","12/04 12:00","1","P0481","Manuel KRONE","11","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Association of AB0 blood type with humoral immune responses to SARS-CoV-2 vaccination and infection","J. Mees|I. Wagenhäuser|J. Reusch|T. Schmer|N. Schossee|A. Gabel|N. Petri|M. Krone|J. Kossler"
"4135","12/04 12:00","2","P0482","Phillip SWANSON","11","B","01j. COVID-19 (incl virology, epidemiology, evolution, immune response, diagnosis, treatment, vaccination, prevention, response and societal impact)","Low dosage of a novel SARS-COV-2 mRNA VLP vaccine elicits equivalent cell-mediated immunity to a licensed mRNA vaccine","P. Swanson|M. Padilla|N. Battaglia|M. Powell|A. Pack|R. Cimbro|A. Stanley|T. Roe|T. Oyedele|S. Cromer Berman|L. Chang"
