id,sessionId,parentSessionId,title,location,date,timeRange,timezone,sessionType,category,chairName,chairCountry,presenterName,presenterCountry
1057,EW042,NULL,"Traumatic wound infections: diagnosis and treatment options","Hall 14 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","02. Bacterial infection & disease","Amparo FERNÁNDEZ-RODRÍGUEZ",Spain,NULL,NULL
1058,EW042,1057,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Amparo FERNÁNDEZ-RODRÍGUEZ",SpainChair
1059,EW042,1057,"Multidrug-resistant infections after trauma in warzone",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Shehan HETTIARATCHY","United Kingdom"
1060,EW042,1057,"Fungal infections during natural disasters",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Anuradha CHOWDHARY",India
1061,EW042,1057,"Bacteriophage therapy for multidrug-resistant wound infections in trauma",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tristan FERRY",France
1062,EW042,1057,"Infection of burn wounds",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nur BENZONANA",Türkiye
1063,EW070,NULL,"Malaria: when the drugs don't work Management of treatment failure in non-endemic countries","Hall 3 |","16:15 - 18:15CETCMEEducational Session",,CET,"Educational Session","07. Parasitic diseases, travel medicine & migrant health","Laura NABARRO","United Kingdom",NULL,NULL
1064,EW070,1063,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Laura NABARRO","United KingdomChair"
1065,EW070,1063,"Malaria in the non-endemic setting: who to treat as an outpatient and how to detect treatment failure",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Emmanuel BOTTIEAU",Belgium
1066,EW070,1063,"Malaria resistance mutations in the non-endemic setting: role of genomic surveillance",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Anna ROSANAS URGELL",Belgium
1067,EW070,1063,"How to manage Plasmodium Knowlesi infection",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Giri Shan RAJAHRAM",Malaysia
1068,EW070,1063,"Epidemiology and control of Plasmodium Knowlesi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kimberly FORNACE",Singapore
1069,EW071,NULL,"The rare art of writing scientific articles: from conception to submission","Hall 15 |","16:15 - 18:15CETCMEEducational Session",,CET,"Educational Session","12. Professional and educational affairs","Marlieke DE KRAKER",Switzerland,NULL,NULL
1070,EW071,1069,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marlieke DE KRAKER",SwitzerlandChair
1071,EW071,1069,"Expressing yourself correctly: writing tips",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Angela HUTTNER",Switzerland
1072,EW071,1069,"Constructing your manuscript for an original article",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jesús RODRÍGUEZ-BAÑO",Spain
1073,EW071,1069,"The use of artificial intelligence tools for writing articles: what to do and not to do",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Erlangga YUSUF",Netherlands
1074,EW071,1069,"Selecting the best journal for my manuscript",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Andre KALIL","United States"
1075,EW077,NULL,"New tools in acute bacterial infections and sepsis: from machine learning to precision medicine","Hall 2 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","02. Bacterial infection & disease","Benjamin MCFADDEN",Australia,NULL,NULL
1076,EW077,1075,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Benjamin MCFADDEN",AustraliaChair
1077,EW077,1075,"Differentiating acute infection, sepsis and sepsis mimics in the ED?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lisa MELLHAMMAR",Sweden
1078,EW077,1075,"Machine learning for early recognition of sepsis",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Karsten BORGWARDT",Germany
1079,EW077,1075,"How to avoid common mistakes in randomised clinical study design",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Yin MO",Singapore
1080,EW077,1075,"Improved clinical trials in community-acquired pneumonia using precision medicine",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lennie DERDE",Netherlands
1081,EW078,NULL,"Implementing metagenomics in my lab and mistakes to avoid","Hall 4 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","04. Diagnostic microbiology","Hege Vangstein AAMOT",Norway,NULL,NULL
1082,EW078,1081,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hege Vangstein AAMOT",NorwayChair
1083,EW078,1081,"Is metagenomics right for my lab?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Paula MÖLLING",Sweden
1084,EW078,1081,"Understanding the experimental and certification aspects of metagenomics",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mads ALBERTSEN",Denmark
1085,EW078,1081,"Navigating tools, techniques, and procurement",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Basil Britto XAVIER",Netherlands
1086,EW078,1081,"Setting realistic goals and outcomes for metagenomics integration",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Claire BERTELLI",Switzerland
1087,EW079,NULL,"New guidelines for management of brain infections","Hall 11 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","02. Bacterial infection & disease","Jacob BODILSEN",Denmark,NULL,NULL
1088,EW079,1087,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jacob BODILSEN",DenmarkChair
1089,EW079,1087,"Tuberculous meningitis: what can we learn from the first global guidelines?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Joseph DONOVAN",Vietnam
1090,EW079,1087,"WHO guidelines on bacterial meningitis: change of clinical practice?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Matthijs BROUWER",Netherlands
1091,EW079,1087,"ESCMID encephalitis guidelines 2024: what's new?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tom SOLOMON","United Kingdom"
1092,EW079,1087,"WHO guidelines for cryptococcal meningitis: success stories and barriers to implementation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nelesh GOVENDER","South Africa"
1093,EW096,NULL,"Tools for successful development as a medical educator","Hall 15 |","13:30 - 15:30CETCMEEducational Session",,CET,"Educational Session","12. Professional and educational affairs","Giorgia CARUANA",Switzerland,NULL,NULL
1094,EW096,1093,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Giorgia CARUANA",SwitzerlandChair
1095,EW096,1093,"Developing your educator professional identity",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Todd CASSESE","United States"
1096,EW096,1093,"What do IPC doctors need to learn to be prepared",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Simone SCHEITHAUER",Germany
1097,EW096,1093,"Communities of practice: successful experience of a transformative collaboration and roadmap",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Erin BONURA","United States"
1098,EW096,1093,"The critical need for ongoing innovations in medical education",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Clémentine SCHILTE",France
1099,EW109,NULL,"Infections in cancer patients: tips for daily practice","Hall 2 |","16:15 - 18:15CETCMEEducational Session",,CET,"Educational Session","10. Immune compromise & transplant ID","José MOLINA GIL-BERMEJO",Spain,NULL,NULL
1100,EW109,1099,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"José MOLINA GIL-BERMEJO",SpainChair
1101,EW109,1099,"Tailoring pharmacologic prophylaxis in patients with non-haematologic cancer: from viruses to fungi",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Janne VEHRESCHILD",Germany
1102,EW109,1099,"Pneumonitis or pneumonia? A practical approach to lung infiltrates in patients with solid tumours",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," TBA",
1103,EW109,1099,"The diagnostic dilemmas and treatment challenges of mycobacteria in cancer patients",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Siran KESKE",Türkiye
1104,EW109,1099,"HTLV-1 and T-cell lymphoma - predict & prevent",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lucy COOK","United Kingdom"
1105,EW118,NULL,"How can we infer and track plasmid outbreaks?","Hall 2 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","04. Diagnostic microbiology","Alessandra CARATTOLI",Italy,NULL,NULL
1106,EW118,1105,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Alessandra CARATTOLI",ItalyChair
1107,EW118,1105,"Evolutionary modelling of plasmids",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Manuel ARES ARROYO",France
1108,EW118,1105,"How plasmids shape the emergence of nosocomial pathogens",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jukka CORANDER",Norway
1109,EW118,1105,"Understanding the complexity of plasmid outbreaks using bioinformatics",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Torsten SEEMANN",Australia
1110,EW118,1105,"Plasmid transmission at the One Health interface",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nicole STOESSER","United Kingdom"
1111,EW119,NULL,"This bacterium might harbour AmpC, what should I do?!","Hall 11 |","08:30 - 10:30CETCMEEducational Session",,CET,"Educational Session","03. Bacterial susceptibility & resistance","Sören G. GATERMANN",Germany,NULL,NULL
1112,EW119,1111,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sören G. GATERMANN",GermanyChair
1113,EW119,1111,"Laboratory identification of AmpC and its impact on /i>in vitro resistance",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ana GALES",Brazil
1114,EW119,1111,"Divergent levels of AmpC expression in Gram-negative pathogens",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Antonio OLIVER",Spain
1115,EW119,1111,"Rational choice of antimicrobial therapy against AmpC-producing pathogens",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Patrick HARRIS",Australia
1116,EW119,1111,"Novel antimicrobials active against AmpC: what RCTs tell us in support of their use?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Amy MATHERS","United States"
1117,EW135,NULL,"Transforming your research idea into an appropriate study design","Hall 3 |","13:30 - 15:30CETCMEEducational Session",,CET,"Educational Session","12. Professional and educational affairs","Casandra BULESCU",Romania,NULL,NULL
1118,EW135,1117,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Casandra BULESCU",RomaniaChair
1119,EW135,1117,"Designing high-quality research studies: methodological skills and knowledge",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mical PAUL",Israel
1120,EW135,1117,"How to design and run scientific studies using AI agents as research assistants",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Alyssa BILINSKI","United States"
1121,EW135,1117,"Designing your first study: how to construct a workable project when your work environment may not help",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Thomas TÄNGDÉN",Sweden
1122,EW135,1117,"Bridging early-career professionals with partners and seniors",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Giorgia CARUANA",Switzerland
1123,EW146,NULL,"How to detect, manage and communicate hospital outbreaks","Hall 13 |","16:15 - 18:15CETCMEEducational Session",,CET,"Educational Session","08. Healthcare-associated infections, infection prevention & control","Margaret IP","Hong-kong Sar China",NULL,NULL
1124,EW146,1123,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Margaret IP",ChinaChair
1125,EW146,1123,"How to detect hospital outbreaks",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"David FISMAN",Canada
1126,EW146,1123,"How to confirm hospital outbreaks using genomics",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"John W. A. ROSSEN",Netherlands
1127,EW146,1123,"How to rapidly respond to an ongoing hospital outbreak",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ermira TARTARI",Malta
1128,EW146,1123,"How to communicate hospital outbreaks via scientific publication",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ines STEFFENS",Sweden
1129,FIPL1,NULL,"Fireplace: Asia: An AMR Hot Zone","Fireplace area |","12:15 - 13:15CETFireplace Session",,CET,"Fireplace Session","03. Bacterial susceptibility & resistance","Giulia DE ANGELIS",Italy,NULL,NULL
1130,FIPL1,1129,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Giulia DE ANGELIS",ItalyChair
1131,FIPL1,1129,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"David L. PATERSON",Singapore
1132,FIPL2,NULL,"Fireplace: Defending against dengue: global epidemiology and strategies for prevention and control","Fireplace area |","16:00 - 17:00CETFireplace Session",,CET,"Fireplace Session","07. Parasitic diseases, travel medicine & migrant health","Anu KANTELE",Finland,NULL,NULL
1133,FIPL2,1132,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Anu KANTELE",FinlandChair
1134,FIPL2,1132,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fernanda BOULOS",Brazil
1135,FIPL3,NULL,"Fireplace: Infections after Solid organ transplantation: past, present and future","Fireplace area |","10:45 - 11:45CETFireplace Session",,CET,"Fireplace Session","10. Immune compromise & transplant ID","Nina KHANNA",Switzerland,NULL,NULL
1136,FIPL3,1135,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nina KHANNA",SwitzerlandChair
1137,FIPL3,1135,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jay FISHMAN","United States"
1138,FIPL4,NULL,"Fireplace: The new frontiers in antimicrobial stewardship","Fireplace area |","12:15 - 13:15CETFireplace Session",,CET,"Fireplace Session","05. New antibacterial agents, PK/PD & Stewardship","Jose Ramon PANO-PARDO",Spain,NULL,NULL
1139,FIPL4,1138,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jose Ramon PANO-PARDO",SpainChair
1140,FIPL4,1138,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Karin THURSKY",Australia
1141,FIPL5,NULL,"Fireplace: Tuberculosis: where are we now and where should we be","Fireplace area |","17:30 - 18:30CETFireplace Session",,CET,"Fireplace Session","02. Bacterial infection & disease","Jon S. FRIEDLAND","United Kingdom",NULL,NULL
1142,FIPL5,1141,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Jon S. FRIEDLAND","United KingdomChair"
1143,FIPL5,1141,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Guy THWAITES",Vietnam
1144,FIPL6,NULL,"Fireplace: HIV: from needle parks to injectables","Fireplace area |","12:15 - 13:15CETFireplace Session",,CET,"Fireplace Session","01. Viral infection & disease (incl COVID-19)","Mary HORGAN",Ireland,NULL,NULL
1145,FIPL6,1144,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mary HORGAN",IrelandChair
1146,FIPL6,1144,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Huldrych GÜNTHARD",Switzerland
1147,FIPL7,NULL,"Fireplace: Staphylococcus aureus host-microbe interaction: ecology, disease, and vaccine development","Fireplace area |","16:00 - 17:00CETFireplace Session",,CET,"Fireplace Session","09. Fundamental microbiology, pathogenesis & immunity to infection","Werner RUPPITSCH",Austria,NULL,NULL
1148,FIPL7,1147,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Werner RUPPITSCH",AustriaChair
1149,FIPL7,1147,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Juliane BUBECK WARDENBURG","United States"
1150,FO050,NULL,"HIV: a global ethical Conundrum","Arena 1 |","11:00 - 12:00CETCMEOpen Forum",,CET,"Open Forum","01. Viral infection & disease (incl COVID-19)","Seif AL-ABRI",Oman,NULL,NULL
1151,FO050,1150,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seif AL-ABRI",OmanChair
1152,FO050,1150,"HIV, from key population to general population: a Pandora's Box",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Syed Faisal MAHMOOD",Pakistan
1153,FO050,1150,"Ethical considerations in preventing mother-to-child HIV transmission",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Glory ALEXANDER",India
1154,FO050,1150,"HIV drug trials in Africa: ethical concerns",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Shah REENA",Kenya
1155,FO050,1150,"HIV-related stigma and discrimination in the healthcare setting",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Teymur NOORI",Sweden
1156,FO063,NULL,"Science communication in a noisy world: podcasting and social media in ID/CM","Arena 1 |","14:45 - 15:45CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Emily G. MCDONALD",Canada,NULL,NULL
1157,FO063,1156,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Emily G. MCDONALD",CanadaChair
1158,FO063,1156,"The ID:IOTS guide to creating a successful CM/ID podcast"",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Callum MUTCH","United Kingdom"
1159,FO063,1156,"Using social media for CM/ID education",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Scott JAKE","United States"
1160,FO063,1156,"Podcasting and social media for antimicrobial stewardship and pharmacy",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Erin MCCREARY","United States"
1161,FO090,NULL,"European CM/ID exam: going forward","Arena 1 |","11:00 - 12:00CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Siri GOEPEL",Germany,NULL,NULL
1162,FO090,1161,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Siri GOEPEL",GermanyChair
1163,FO090,1161,"View from medical microbiology",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Maeve DOYLE",Ireland
1164,FO090,1161,"view from infectious diseases",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Eoghan DE BARRA",Ireland
1165,FO090,1161,"view from trainees (TAE)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Christian KRAEF",Denmark
1166,FO090,1161,"European exam - how to prepare?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Annelies VERBON",Netherlands
1167,FO097,NULL,"Essential diagnostics in Low-Resource Settings: why are we still talking?","Arena 1 |","13:30 - 14:30CETCMEOpen Forum",,CET,"Open Forum","04. Diagnostic microbiology","Truls Michael LEEGAARD",Norway,NULL,NULL
1168,FO097,1167,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Truls Michael LEEGAARD",NorwayChair
1169,FO097,1167,"Training skilled personnel in LMIC and brain drain: is the solution the problem?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sipho Kenneth DLAMINI","South Africa"
1170,FO097,1167,"Leveraging surveillance networks to strengthen basic bacteriology",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dissou AFFOLABI",Benin
1171,FO097,1167,"Clinical bacteriology laboratories in low-resource settings: considerations for sustainability",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Makeda SEMRET",Canada
1172,FO098,NULL,"Best of ID Week","Arena 2 |","13:30 - 14:30CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Tina TAN","United States",NULL,NULL
1173,FO098,1172,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tina TAN","United StatesChair"
1174,FO098,1172,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Seth COHEN","United States"
1175,FO102,NULL,"Navigating the future of pandemics across One Health","Arena 1 |","14:45 - 15:45CETCMEOpen Forum",,CET,"Open Forum","11. Public health & vaccines","Xavier LESCURE",France,NULL,NULL
1176,FO102,1175,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Xavier LESCURE",FranceChair
1177,FO102,1175,"Status of the One Health Joint Plan of Action by the Quadripartite",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chadia WANNOUS",France
1178,FO102,1175,"Evidence review on One Health governance and implementation at the European level",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Tyra Grove KRAUSE",Denmark
1179,FO102,1175,"Long-term consequences of emerging viral diseases",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Alfonso J. RODRIGUEZ-MORALES",Colombia
1180,FO129,NULL,"Predatory journals in CM/ID: from symptoms to cure","Arena 1 |","11:00 - 12:00CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Emily G. MCDONALD",Canada,NULL,NULL
1181,FO129,1180,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Emily G. MCDONALD",CanadaChair
1182,FO129,1180,"The genesis of predatory journals: symptoms and root problems",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Leonard LEIBOVICI",Israel
1183,FO129,1180,"The role of editors and publishers of 'reputable journals': what can they do to stop predatory journals?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Till BÄRNIGHAUSEN",Germany
1184,FO129,1180,"The roles of authors and academic institutions: towards governance and regulation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Luigia SCUDELLER",Italy
1185,FO129,1180,"Bibliometric literacy in scientific publication",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lauren MAGGIO","United States"
1186,FO136,NULL,"Diversity in CM and ID: gender gaps and policy traps","Arena 1 |","13:30 - 14:30CETCMEOpen Forum",,CET,"Open Forum","12. Professional and educational affairs","Andre FUCHS",Germany,NULL,NULL
1187,FO136,1186,"Untitled Presentation",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Andre FUCHS",GermanyChair
1188,FO136,1186,"How to avoid parity traps in ID/CM research?",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Muge CEVIK","United Kingdom"
1189,FO136,1186,"Gender gaps in visibility at scientific conferences",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Sarah DELLIERE",France
1190,FO136,1186,"Psychological determinants of empowerment at individual and societal level",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL," TBA",
1191,IPT01,NULL,"Clinical application of the UllCORE BSI Test - deepull's direct-from-blood multiplex PCR","Innovation theatre |","10:30 - 10:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1192,IPT01,1191,"Clinical application of the UllCORE BSI Test - deepull's direct-from-blood multiplex PCR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kimberle CHAPIN",Spain
1193,IPT02,NULL,"Race against resistance: understanding the impact of AMR on cancer care and advancing solutions","Innovation theatre |","11:00 - 11:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1194,IPT02,1193,"Race against resistance: understanding the impact of AMR on cancer care and advancing solutions",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Matteo BASSETTI",Italy
1195,IPT03,NULL,"Developing a potential first-in-class live biotherapeutic product (LBP) to prevent recurrent C. difficile infection (rCDI)","Innovation theatre |","11:30 - 11:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1196,IPT03,1195,"Developing a potential first-in-class live biotherapeutic product (LBP) to prevent recurrent C. difficile infection (rCDI)",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Oliver A. CORNELY",Germany
1197,IPT04,NULL,"The DRAIGON project: developing MDR diagnosis with AI-driven whole-genome sequencing for rapid, precise, and comprehensive detection of resistant infections","Innovation theatre |","12:00 - 12:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1198,IPT04,1197,"The DRAIGON Project: developing MDR diagnosis with AI-driven whole-genome sequencing for rapid, precise, and comprehensive detection of resistant infections",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Irina MELN",France
1199,IPT05,NULL,"Evolving impact of long COVID","Innovation theatre |","12:30 - 12:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1200,IPT05,1199,"Evolving impact of long COVID",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Roger PAREDES",Spain
1201,IPT06,NULL,"Molecular diagnostic tests: how do you QC? Increase compliance for your IQC programs","Innovation theatre |","13:00 - 13:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1202,IPT06,1201,"Molecular diagnostic tests: how do you QC? Increase compliance for your IQC programs",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Chris CONNELLY","United States"
1203,IPT08,NULL,"BACTEROMIC: One system ... Many comprehensive solutions","Innovation theatre |","14:00 - 14:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1204,IPT08,1203,"BACTEROMIC: One system . Many comprehensive solutions",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Lukasz RICHTER",Poland
1205,IPT09,NULL,"T cell directed mRNA vaccines for infectious diseases","Innovation theatre |","15:00 - 15:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1206,IPT09,1205,"T Cell directed mRNA vaccines for infectious diseases",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nadine SALISCH",Germany
1207,IPT10,NULL,"Data-driven approaches to managing patients at high risk for severe COVID-19","Innovation theatre |","15:30 - 15:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1208,IPT10,1207,"Data-driven approaches to managing patients at high risk for severe COVID-19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Carolina GARCIA VIDAL",Spain
1209,IPT11,NULL,"Innovation in preventing the unseen threat: central line-associated bloodstream infections","Innovation theatre |","16:00 - 16:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1210,IPT11,1209,"Innovation in preventing the unseen threat: central line-associated bloodstream infections",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nisha GUPTA","United States"
1211,IPT12,NULL,"Isothermal recombinase polymerase (RPA) reagents for diagnostic assay development and research","Innovation theatre |","10:00 - 10:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1212,IPT12,1211,"Isothermal recombinase polymerase (RPA) reagents for diagnostic assay development and research",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Agne ALMINAITE",Lithuania
1213,IPT13,NULL,"Fosmanogepix - a novel clinical phase 3 stage antifungal agent","Innovation theatre |","10:30 - 10:50CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
1214,IPT13,1213,"Fosmanogepix - a novel clinical phase 3 stage antifungal agent",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Marc  ENGELHARDT",Switzerland
1215,IPT14,NULL,"Drive for discovery: the long road for new uUTI antibiotic approvals","Innovation theatre |","11:00 - 11:20CETInnovation Theatre",,CET,"Innovation Theatre","32. Industry session",NULL,NULL,NULL,NULL
