Day,Local Time,Location,Category,Type of Session,Number/Code,Session Title,Presentation Title,Authors/Presenters,MAF Coverage,Priority Level ,Status,Comments,tracknames,presenters,additional_info,disclosures
Thursday,8:00 AM - 9:00 AM,403 A,,,,10 - AAP Redbook: Highlights for 2024-2027,,,,,,,"['Epi & Infection Control', 'Global ID', 'Investigative ID', 'Pediatric ID', 'Trainee', 'Transplant']","[{'title': 'Latania Logan, MD, MSPH', 'affiliation': 'Marcus Professor of Pediatric Infectious Diseases, Professor of Pediatrics Emory University School of Medicine Atlanta, Georgia, United States'}, {'title': 'Chandy John, MD, MS', 'affiliation': 'Ryan White Professor of Pediatrics Indiana University Indianapolis, IN, United States'}, {'title': ""Sean O'Leary, MD, MPH (he/him/his)"", 'affiliation': ""Professor Adult and Child Consortium for Health Outcomes Research and Delivery Science University of Colorado School of Medicine and Children's Hospital Colorado Aurora, Colorado, United States""}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 1 hours of ANCC CreditACPE Credits: ACPE 1 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Latania K. Logan, MD, MSPH:  No financial relationships to disclose', 'Chandy John, MD, MS:  No financial relationships to disclose', ""Sean T. O'Leary, MD, MPH:  No financial relationships to disclose""]"
Thursday,8:00 AM - 9:00 AM,502 A,,,,11 - All Connected: Global Health Care Delivery and Product Development Impact on Domestic Infectious Diseases,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Pediatric ID', 'Trainee']","[{'title': 'Danielle Zerr, MD MPH (she/her/hers)', 'affiliation': ""Professor Pediatric Infectious Diseases/Med. Dir. Infection Prevention University of Washington/Seattle Children's Hospital Seattle, WA, United States""}, {'title': 'Sujan Reddy, MD, MSc (he/him/his)', 'affiliation': 'Medical Director of CDCâ??s Prevention Epicenter Program CDC Atlanta, GA, United States'}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 1 hours of ANCC CreditACPE Credits: ACPE 1 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Danielle M. Zerr, MD MPH:  No relevant disclosure to display', 'Sujan Reddy, MD, MSc:  No financial relationships to disclose']"
Thursday,8:00 AM - 9:00 AM,404 AB,,,,"12 - Bills, Bill, Bills (and ID): What's New and Exciting in Billing and Coding",,,,,,,"['Adult ID', 'Trainee']","[{'title': 'Susan Casey', 'affiliation': ''}, {'title': 'Ron Devine', 'affiliation': ''}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 1 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Susan Casey:  No financial relationships to disclose', 'Ron Devine:  No financial relationships to disclose']"
Thursday,8:00 AM - 9:00 AM,515 A,,,,13 - Bronchiectasis and NTMs,,,,,,,"['Adult ID', 'Global ID', 'Investigative ID', 'Pediatric ID', 'Trainee']","[{'title': 'Mahalia Dessruisseaux', 'affiliation': ''}, {'title': 'Luiz Bermudez, MD', 'affiliation': 'Professor Oregon State University Corvallis, OR, United States'}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 1 hours of ANCC CreditACPE Credits: ACPE 1 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Mahalia Dessruisseaux:  No financial relationships to disclose', 'Luiz Bermudez, MD:  No financial relationships to disclose']"
Thursday,8:00 AM - 9:00 AM,408 B,,,,14 - Double Trouble? Evaluating Beta-Lactams as Adjunctive Therapy for Difficult Gram-Positive Infections,,,,,,,"['Adult ID', 'Trainee']","[{'title': 'Christopher Bland, PharmD, FCCP, FIDSA, BCPS', 'affiliation': 'Albert W. Jowdy Professor in Pharmacy Care Pharmacy University of Georgia College of Pharmacy Savannah, GA, United States'}, {'title': 'Christina Maguire, PharmD (she/her/hers)', 'affiliation': 'Infectious Diseases Clinical Pharmacy Specialist Penn Presbyterian Medical Center Philadelphia, PA, United States'}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 1 hours of ANCC CreditACPE Credits: ACPE 1 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Christopher M. Bland, PharmD, FCCP, FIDSA, BCPS:  No relevant disclosure to display', 'Christina Maguire, PharmD:  No relevant disclosure to display']"
Thursday,8:00 AM - 9:00 AM,502 B,,,,15 - Peace of Mind: Optimizing Mental Health in the HIV Clinic,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee']","[{'title': 'Aadia Rana, MD (she/her/hers)', 'affiliation': 'Professor of Medicine University of Alabama-Birmingham Heersink School of Medicine Birmingham, AL, United States'}, {'title': 'Jason Halperin', 'affiliation': 'Tulane University'}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 1 hours of ANCC CreditACPE Credits: ACPE 1 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Jason Halperin:  No financial relationships to disclose']"
Thursday,8:00 AM - 9:00 AM,403 B,,,,16 - Progress and Challenges in the Management of CNS Infections,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee']","[{'title': 'Carlos Franco-Paredes, MD, MPH', 'affiliation': 'Faculty Department of Medicine - Division of Infectious Diseases Hospital Infantil de Mexico, Mexico and Instituto Conmemorativo de la Salud, Panama Denver, CO, United States'}, {'title': 'Farrell Tobolowsky, DO, MS (she/her/hers)', 'affiliation': 'Medical Epidemiologist CDC Atlanta, GA, United States'}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 1 hours of ANCC CreditACPE Credits: ACPE 1 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Carlos Franco-Paredes, MD, MPH:  No financial relationships to disclose', 'Farrell A. Tobolowsky, DO, MS:  No financial relationships to disclose']"
Thursday,8:00 AM - 9:00 AM,408 A,,,,17 - Should HCV Be Treated in Pregnant Persons?,,,,,,,"['Adult ID', 'Global ID', 'Investigative ID', 'HIV-STD-TB', 'Trainee']","[{'title': 'Michael Melia, MD (he/him/his)', 'affiliation': 'ID Fellowship Program Director Johns Hopkins University Baltimore, MD, United States'}, {'title': 'Oluwaseun Falade-Nwulia, MBBS ,MPH', 'affiliation': 'Associate  Professor Johns Hopkins University Baltimore, MD, United States'}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 1 hours of ANCC CreditACPE Credits: ACPE 1 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Michael T. Melia, MD:  No financial relationships to disclose', 'Oluwaseun Falade-Nwulia, MBBS ,MPH:  No relevant disclosure to display']"
Thursday,8:00 AM - 9:00 AM,515 B,,,,18 - Stewardship Metrics That Work: How Prescribing Practices Impact Patient Outcomes,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Pediatric ID', 'Trainee']","[{'title': 'Lisa Dumkow, Pharm D., BCIDP (she/her/hers)', 'affiliation': 'Antimicrobial Stewardship Clinical Pharmacist Trinity Health Grand Rapids Grand Rapids, Michigan, United States'}, {'title': 'Matthew Kronman, MD, MSCE (he/him/his)', 'affiliation': ""Professor Pediatric Infectious Diseases Seattle Children's Hospital / University of Washington Seattle, WA, United States""}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 1 hours of ANCC CreditACPE Credits: ACPE 1 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Lisa E. Dumkow, Pharm D., BCIDP:  No financial relationships to disclose', 'Matthew Kronman, MD, MSCE:  No financial relationships to disclose']"
Thursday,8:00 AM - 9:00 AM,411,,,,19 - What's New in Medical Education?,,,,,,,"['Adult ID', 'Pediatric ID', 'Trainee']","[{'title': 'Paul Pottinger, MD (he/him/his)', 'affiliation': 'Professor of Medicine Infectious Diseases University of Washington School of Medicine Seattle, WA, United States'}, {'title': 'Sanya Thomas, MD (she/her/hers)', 'affiliation': ""Assistant Professor of Pediatrics Nationwide Children's Hospital/OSU""}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1 hours of MOC CreditCNE Credits: Maximum of 0 hours of ANCC CreditACPE Credits: ACPE 1 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Paul S. Pottinger, MD:  No financial relationships to disclose', 'Sanya Thomas, MD:  No financial relationships to disclose']"
Thursday,8:30 AM - 8:55 AM,BugHub Stage,,,,Antibiotic Stewardship Staffing Practices: Experience from 3 Hospitals,,,,,,,['BugHub Stage'],[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Thursday,9:00 AM - 2:00 PM,NextGen ID Lounge (Hall K Foyer),,,,Resume Review,,,,,,,"['IDBugCrawl', 'Trainee']",[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Thursday,9:00 AM - 9:55 AM,BugHub Stage,,,,Bug of the Day,,,,,,,['BugHub Stage'],"[{'title': 'Maximo Brito, MD, MPH', 'affiliation': 'Professor of Medicine University of Illinois at Chicago Chicago, IL, United States'}, {'title': 'Jeannette Guarner, MD (she/her/hers)', 'affiliation': 'Professor Pathology Emory University School of Medicine Atlanta, GA, United States'}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Jeannette Guarner, MD:  No financial relationships to disclose']"
Thursday,9:00 AM - 12:00 PM,NextGen ID Lounge (Hall K Foyer),,,,Professional Headshots,,,,,,,"['IDBugCrawl', 'Trainee']",[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Thursday,9:15 AM - 10:00 AM,Ballroom (West Hall B),,,,20 - Maxwell Finland Lecture,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'Investigative ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee', 'Transplant', 'COVID-19']","[{'title': 'Steven Schmitt, MD (he/him/his)', 'affiliation': 'Staff Physician Cleveland Clinic Foundation Cleveland, OH, United States'}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0.75 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0.75 hours of MOC CreditCNE Credits: Maximum of 0.75 hours of ANCC CreditACPE Credits: ACPE 0.75 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Steven K. Schmitt, MD:  No financial relationships to disclose']"
Thursday,10:00 AM - 10:25 AM,Global BugHub Stage,,,,EMPOD�RATE: Embracing Trauma-Informed Care in STI Management among Hispanic/Latinx Communities - Un Di�logo en Spanglish,,,,,,,['Global BugHub Stage'],"[{'title': 'Raul Macias Gil, MD', 'affiliation': 'Associate Program Director, Infectious Diseases Fellowship & Associate Chief, Division of Infectious Diseases Harbor-UCLA Medical Center Los Angeles, CA, United States'}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Thursday,10:00 AM - 10:25 AM,BugHub Stage,,,,Lessons and reflections from the COVID-19 Pandemic,,,,,,,['BugHub Stage'],"[{'title': 'Aslam Khan, DO', 'affiliation': 'Clinical Assistant Professor Pediatrics Stanford University School of Medicine Stanford, California, United States'}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Thursday,10:00 AM - 10:30 AM,NextGen ID Lounge (Hall K Foyer),,,,Mystery Case Conference,,,,,,,"['NextGen ID Lounge', 'Trainee']",[],All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of  hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Thursday,10:30 AM - 11:45 AM,515 A,,,,"21 - 'I Don't See Race': The Impact a Colorblind Constitution Has on Clinical Disparities, Medical Education and the Workforce in Infectious Diseases",,,,,,,"['Adult ID', 'Pediatric ID', 'Trainee']","[{'title': 'Paul Pottinger, MD (he/him/his)', 'affiliation': 'Professor of Medicine Infectious Diseases University of Washington School of Medicine Seattle, WA, United States'}, {'title': 'Anthony Flores, MD, MPH, PhD (he/him/his)', 'affiliation': 'Professor Vanderbilt University Medical Center Nashville, TN, United States'}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.25 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.25 hours of MOC CreditCNE Credits: Maximum of 1.25 hours of ANCC CreditACPE Credits: ACPE 1.25 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Paul S. Pottinger, MD:  No financial relationships to disclose', 'Anthony R. Flores, MD, MPH, PhD:  No relevant disclosure to display']"
Thursday,10:30 AM - 11:45 AM,408 B,,,,22 - Beyond the 101: Pondering Perplexing Prescribing Issues,,,,,,,"['Adult ID', 'Investigative ID', 'Pediatric ID', 'Trainee', 'Transplant']","[{'title': 'Pranita Tamma, MD, MHS', 'affiliation': 'Associate Professor Johns Hopkins School of Medicine Baltimore, MD, United States'}, {'title': 'Erin McCreary, PharmD (she/her/hers)', 'affiliation': 'Director of Infectious Diseases Improvement and Clinical Research Innovation University of Pittsburgh Medical Center Pittsburgh, PA, United States'}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.25 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.25 hours of MOC CreditCNE Credits: Maximum of 1.25 hours of ANCC CreditACPE Credits: ACPE 1.25 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,
Thursday,10:30 AM - 11:45 AM,515 B,,,,23 - Building Your Own Clinical Prediction Model: A Bootcamp for the ID Researcher,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Trainee']","[{'title': 'Krishna Rao, MD, MS', 'affiliation': 'Associate Professor University of Michigan Ann Arbor, MI, United States'}, {'title': 'Anthony Harris, MD, MPH', 'affiliation': 'Professor University of Maryland School of Medicine Baltimore, Maryland, United States'}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.25 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.25 hours of MOC CreditCNE Credits: Maximum of 1.25 hours of ANCC CreditACPE Credits: ACPE 1.25 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Krishna Rao, MD, MS:  No relevant disclosure to display']"
Thursday,10:30 AM - 11:45 AM,Ballroom (West Hall B),,,,24 - Emerging Issues in The Global Mpox Threat,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'Investigative ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee', 'Transplant', 'COVID-19']","[{'title': 'Jason Zucker, MD, MS', 'affiliation': 'Assistant Professor of Medicine Internal Medicine and Pediatrics Columbia University Irving Medical Center New York, NY, United States'}, {'title': 'Aadia Rana, MD (she/her/hers)', 'affiliation': 'Professor of Medicine University of Alabama-Birmingham Heersink School of Medicine Birmingham, AL, United States'}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.25 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.25 hours of MOC CreditCNE Credits: Maximum of 1.25 hours of ANCC CreditACPE Credits: ACPE 1.25 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Jason Zucker, MD, MS:  No financial relationships to disclose']"
Thursday,10:30 AM - 11:45 AM,Petree C,,,,"25 - Managing Infection in the Era of MDR, XDR and PDR Among Immunocompromised Hosts",,,,,,,"['Adult ID', 'Pediatric ID', 'Transplant']","[{'title': 'Tessa Andermann, MD, MPH (she/her/hers)', 'affiliation': 'Assistant Professor of Medicine Medicine/Division of Infectious Diseases University of North Carolina at Chapel Hill Chapel Hill, NC, United States'}, {'title': 'Murat Akova, Prof. (he/him/his)', 'affiliation': 'Professor Hacettepe University Ankara, Ankara, Turkey'}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.25 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.25 hours of MOC CreditCNE Credits: Maximum of 1.25 hours of ANCC CreditACPE Credits: ACPE 1.25 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Tessa Andermann, MD, MPH:  No financial relationships to disclose', 'Murat Akova, Prof.:  No financial relationships to disclose']"
Thursday,10:30 AM - 11:45 AM,502 B,,,,26 - Meeting Resistance: Novel Methods for Antimicrobial Resistance,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'Investigative ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee', 'Transplant']","[{'title': 'Patricia Simner, PhD', 'affiliation': 'Associate Professor, Director of Bacteriology Johns Hopkins School of Medicine Baltimore, MD, United States'}, {'title': 'Lars Westblade, PhD', 'affiliation': 'Clinical Microbiology Laboratory Director/Associate Professor Pathology and Laboratory Medicine Weill Cornell Medicine New York, NY, United States'}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.25 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.25 hours of MOC CreditCNE Credits: Maximum of 1.25 hours of ANCC CreditACPE Credits: ACPE 1.25 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Patricia J. Simner, PhD:  No relevant disclosure to display', 'Lars Westblade, PhD:  No relevant disclosure to display']"
Thursday,10:30 AM - 11:45 AM,502 A,,,,27 - Preparing Your Hospital for the Next Big One,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Pediatric ID', 'Trainee', 'COVID-19']","[{'title': 'Danielle Zerr, MD MPH (she/her/hers)', 'affiliation': ""Professor Pediatric Infectious Diseases/Med. Dir. Infection Prevention University of Washington/Seattle Children's Hospital Seattle, WA, United States""}, {'title': 'Andi Shane, MD, MPH, MSc', 'affiliation': ""Professor Department of Pediatrics, Division of Infectious Diseases Emory University School of Medicine and Children's Healthcare of Atlanta Atlanta, GA, United States""}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.25 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.25 hours of MOC CreditCNE Credits: Maximum of 1.25 hours of ANCC CreditACPE Credits: ACPE 1.25 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Danielle M. Zerr, MD MPH:  No relevant disclosure to display', 'Andi L. Shane, MD, MPH, MSc:  No relevant disclosure to display']"
Thursday,10:30 AM - 11:45 AM,Concourse 151,,,,28 - State-of-the-Art HIV Care and Prevention,,,,,,,"['Adult ID', 'Epi & Infection Control', 'Global ID', 'HIV-STD-TB', 'Pediatric ID', 'Trainee']","[{'title': 'Vivek Jain, MD, MAS (he/him/his)', 'affiliation': 'Professor of Medicine Division of HIV, Infectious Diseases & Global Medicine, San Francisco General Hospital, University of California, San Francisco San Francisco, CA, United States'}, {'title': 'Damani Piggott, MD, PhD', 'affiliation': 'Assistant Professor Medicine Johns Hopkins University School of Medicine Baltimore, MD, United States'}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 1.25 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 1.25 hours of MOC CreditCNE Credits: Maximum of 1.25 hours of ANCC CreditACPE Credits: ACPE 1.25 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Vivek Jain, MD, MAS:  No relevant disclosure to display', 'Damani A. Piggott, MD, PhD:  No financial relationships to disclose']"
Thursday,10:30 AM - 11:45 AM,404 AB,,,,29 - Breaking Ground: ID Clinical Trials,,,,,,,"['Adult ID', 'Investigative ID', 'COVID-19']","[{'title': 'Thomas Holland, MD', 'affiliation': 'Associate Professor, Department of Medicine, Division of Infectious Diseases Duke University Medical Center Durham, NC, United States'}, {'title': 'Cesar Arias, MD, MSc, PhD (he/him/his)', 'affiliation': 'Professor and Chief Houston Methodist and Weill Cornell Medical College Houston, TX, United States'}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of 0 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Daniela E. DiMarco, MD, MPH:  No financial relationships to disclose']"
Thursday,10:30 AM - 11:45 AM,411,,,,30 - Emerging Updates on COVID-19 Treatment,,,,,,,"['Adult ID', 'Pediatric ID', 'HIV-STD-TB', 'Investigative ID', 'Epi & Infection Control', 'Transplant', 'COVID-19']","[{'title': 'Haley Pritchard, MD, MS (she/her/hers)', 'affiliation': 'Assistant Professor of Clinical Medicine Department of Medicine, Section of Infectious Diseases Indiana University School of Medicine Indianapolis, IN, United States'}, {'title': 'Mala Kaneria, MBBS, MD, FICP Internal Medicine and Infectious Diseases (she/her/hers)', 'affiliation': 'Dr. Professor Infectious Diseases and Internal Medicine Topiwala National Medical College and BYL Nair Ch. Hospital Mumbai, Maharashtra, India'}, {}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of 0 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Haley Pritchard, MD, MS:  No financial relationships to disclose', 'Mala V. Kaneria, MBBS, MD, FICP Internal Medicine and Infectious Diseases:  No financial relationships to disclose']"
Thursday,10:30 AM - 11:45 AM,403 B,,,,31 - Mycology Matters: Insights into Fungal Infections,,,,,,,"['Adult ID', 'Pediatric ID']","[{'title': 'Jeniel Nett, MD PhD', 'affiliation': 'Associate Professor University of Wisconsin-Madison Madison, WI, United States'}, {'title': 'Albert Eid, MD (he/him/his)', 'affiliation': 'Associate Professor University of Kansas Medical Center Kansas City, KS, United States'}, {}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of 0 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Jeniel E. Nett, MD PhD:  No financial relationships to disclose', 'Albert Eid, MD:  No financial relationships to disclose']"
Thursday,10:30 AM - 11:45 AM,403 A,,,,32 - Tackling Gram-Negative Infections in Health Care Settings,,,,,,,"['Adult ID', 'Pediatric ID', 'Epi & Infection Control']","[{'title': 'Rachel Slayton, PhD, MPH (she/her/hers)', 'affiliation': 'Director, Office of Mathematical Modeling, Division of Healthcare Quality Promotion Division of Healthcare Quality Promotion Centers for Disease Control and Prevention Atlanta, GA, United States'}, {'title': 'Keith Kaye, MD, MPH', 'affiliation': 'Professor of Medicine Rutgers Robert Wood Johnson Medical School New Brunswick, NJ, United States'}, {'name': 'Multispecies Outbreak of Klebsiella pneumoniae Carbapenemase-3 (KPC-3)-producing Enterobacterales in an Acute Care Hospital â?? Virginia, 2023-2024'}, {}, {}, {}, {}]",All relevant financial relationships have been mitigated. CME Credits: Maximum of 0 hours of AMA PRA Category 1 Creditâ?¢MOC Credits: Maximum of 0 hours of MOC CreditCNE Credits: Maximum of 0 hours of ANCC CreditACPE Credits: ACPE 0 knowledge-based contact hours of pharmacy CEACPE Number: JA0007082-9999-24-002-L01-P,"['Disclosure(s):', 'Rachel Slayton, PhD, MPH:  No financial relationships to disclose', 'Keith S. Kaye, MD, MPH:  No relevant disclosure to display']"
