poster_id,source_url,track_code,track_name,session_type,presentation_id,title,date,time,timezone,location,presenting_author_name,presenting_author_title,presenting_author_institution,presenting_author_location,total_presenting_authors,total_co_authors,all_presenting_authors,all_co_authors
494,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=494,F4.,F4. Hepatitis E,,P-1842,Clinical Characteristics of Rat Hepatitis E Virus (Rocahepevirus ratti) Infection: an emerging agent of viral hepatitis in humans,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Siddharth Sridhar, MD (he/him/his)",Clinical Associate Professor,The University of Hong Kong,"Hong Kong, Hong Kong",1,8,"Siddharth Sridhar, MD (he/him/his)","Shusheng Wu, MSc; Cyril Yip, PhD; Estie Hon-Kiu Shun, MMedSc; Tsz Chung Wong, n/a; Pak Yui Ng, n/a; Zhiyu Li, MPhil; Jianwen Situ, MSc; Stanley Ho, PhD"
495,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=495,F2.,F2. Hepatitis B,,P-1841,Characterizing Hepatitis B Virus Surface Antigen Positivity in United States Service Members,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Shelby Hill, DO (she/her/hers)",Internal Medicine Resident,San Antonio Uniformed Services Health Education Consortium,"San Antonio, TX, United States",1,3,"Shelby Hill, DO (she/her/hers)","Jessica Basso, MD; Samuel Owen, MD; Joseph Marcus, MD (he/him/his)"
496,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=496,F3.,F3. Hepatitis C,,P-1840,Implementing Universal Viral Hepatitis C Screening within an Emergency Department: Trends from a South Texas Large Urban County Hospital,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Racquel Owino, MPH","Program Manager, Special Projects",University Health,"San Antonio, TX, United States",1,7,"Racquel Owino, MPH","Delana Gonzales, MPH; Serena Gaultier -Soliz, CHW; Dianita Gamino, PHMA,CCHW; Makayla Tey, MBA; Tatiana Emanuel, PA-C, DMSc; Ralph Riviello, MD,MS; Anna Taranova, MD, MS"
497,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=497,F3.,F3. Hepatitis C,,P-1839,Emergency Department-Based Opt-out Screening and Linkage to Care for Hepatitis C Virus within a Community Healthcare System,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Paula A. Eckardt, MD",Chief of Infectious Disease,Memorial Healthcare System,"Hollywood, FL, United States",1,2,"Paula A. Eckardt, MD","Jianli Niu, MD, PhD; Sheila Montalvo, PharmD"
498,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=498,F3.,F3. Hepatitis C,,P-1838,Improving Hepatitis C Virus Screening for Adults in a Safety-net Primary Care Clinic,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Lwin Mya, MD",Attending Doctor,Elmhurst Hospital,"Rego Park, NY, United States",1,3,"Lwin Mya, MD","Aparna Rathnam, M.B,B.S; TuTu Mon, MD; Marlon E. Brewer, MD"
499,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=499,F2.,F2. Hepatitis B,,P-1837,Improving Hepatitis B Vaccination Rates in the Ambulatory Care Setting,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Mya Hnin Lwin, MD",Teaching Hospitalist Attending,Elmhurst Hospital,"Rego Park, NY, United States",1,3,"Mya Hnin Lwin, MD","Aparna Rathnam, M.B,B.S; TuTu Mon, MD; Marlon E. Brewer, MD"
500,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=500,F3.,F3. Hepatitis C,,P-1836,"County by county estimation of HIV, Hepatitis C Virus, and deaths averted caused by Overdose Prevention Health Centers in the United States from January 2020-June 2024.","Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Mike Sportiello, MD-PhD",Resident physician,Emory University,"Atlanta, GA, United States",1,1,"Mike Sportiello, MD-PhD","Rohith Palli, MD"
501,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=501,F1.,F1. Hepatitis A,,P-1835,Dual burden of infections: seroprevalence of acute viral hepatitis among dengue patients in northern India,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,Monirujjaman Biswas,PhD,Jawaharlal Nehru University,"New Delhi, Delhi, India",1,0,Monirujjaman Biswas,
502,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=502,F1.,F1. Hepatitis A,,P-1834,"Clinical profile and outcomes of hepatitis A virus–associated with severe acute liver injury in adults: A case study of Delhi, India","Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,Monirujjaman Biswas,PhD,Jawaharlal Nehru University,"New Delhi, Delhi, India",1,0,Monirujjaman Biswas,
503,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=503,M1.,M1. Clinical studies of fungal infections,,P-1958,"Efficacy and Safety of Rezafungin, A Long-Acting Echinocandin","Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Richard L. Hengel, MD, FIDSA",Partner,Atlanta ID Group,"Atlanta, GA, United States",1,7,"Richard L. Hengel, MD, FIDSA","Brian S. Metzger, MD, MPH; Erika M. Young, DO; Kent J. Stock, DO; Joseph F. John, Jr., MD, FACP, FIDSA; Kimberly A. Couch, PharmD, MA, FIDSA, FASHP; Christina J. Weeks, PharmD; Lucinda J. Van Anglen, PharmD, FIDSA"
504,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=504,M1.,M1. Clinical studies of fungal infections,,P-1956,Hospitalizations for Coccidioidal Meningitis: A Review of Outcomes and Trends in an Endemic Setting from 2020-2024,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Virtual,"Michelle Fang, PharmD","Clinical Pharmacist, Infectious Diseases",Kern Medical,"Bakersfield, CA, United States",1,7,"Michelle Fang, PharmD","Jigar Patel, MD; Bianca Torres (she/her/hers); Jenessa Olson, n/a; Carlos M. D'Assumpcao, MD (he/him/his); Rasha Kuran, MD; Royce H. Johnson, MD; Shikha Mishra, MD (she/her/hers)"
505,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=505,M1.,M1. Clinical studies of fungal infections,,P-1955,Risk Factors Associated with Increased Mortality in Candida parapsilosis Candidemia (RAIMCp),"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Marlene Garcia, MD",Infectious Disease Fellow,Corewell Health /Michigan State University,"Grand Rapids, MI, United States",1,5,"Marlene Garcia, MD","Felix Bratosin, MBBS/PhD; Adam Caulfield, PhD; Kevin Fitzgerald, DO; James Lim, Md; Gordana Simeunovic, MD"
506,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=506,M1.,M1. Clinical studies of fungal infections,,P-1954,"Clinical, Laboratory, and Biomarker Predictors of 90-Day Mortality in Non-HIV, Non-Transplant Pneumocystis Pneumonia","Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Melat Endashaw, PharmD",PGY2 ID Pharmacy Resident,Emory Healthcare,"Atlanta, GA, United States",1,6,"Melat Endashaw, PharmD","Leland Shapiro, MD; Brent Edwards, BA; Daniel B. Chastain, Pharm.D., BCIDP, AAHIVP, FIDSA; James Maloney, MD; George R. Thompson III, MD; Andrés F. Henao Martínez, MD, MPH (he/him/his)"
507,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=507,M1.,M1. Clinical studies of fungal infections,,P-1953,"Incidence, Clinical Characteristics, and Outcomes of Candida Endocarditis in Patients with Candidemia","Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,Molly C. Studebaker (she/her/hers),Pharm.D. Candidate 2026,University of Georgia College of Pharmacy,"Moultrie, GA, United States",1,4,Molly C. Studebaker (she/her/hers),"Isabel C. Campa (she/her/hers); Andrés F. Henao Martínez, MD, MPH (he/him/his); Martin Krsak, MD, MSc, FASAM; Daniel B. Chastain, Pharm.D., BCIDP, AAHIVP, FIDSA"
508,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=508,M1.,M1. Clinical studies of fungal infections,,P-1952,Osteoarticular Coccidioidomycosis in California: A Single-Center Experience,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Melissa Dzinoreva, BA",,Stanford,"stanford, California, United States",1,3,"Melissa Dzinoreva, BA","Radhika Arya, MD; Daisuke Furukawa, MD MS; Traci Shiu, BS"
509,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=509,M1.,M1. Clinical studies of fungal infections,,P-1951,Utilization of Intensive Care Interventions in Critically Ill Patients with Candidemia vs. Bacteremia: Implications for Empiric Antifungal Prescribing,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Mary North Jones, BA",,Baylor College of Medicine,"Houston, Texas, United States",1,10,"Mary North Jones, BA","Masayuki Nigo, MD, MSc; Stefano Casarin, PhD; James Kurian, MD; Aarjav Sanghvi, MS; David Enshuo Hsu, MA, PhD; Stephen Jones, MD, MSHI; Ashton Connor, MD, PhD; David B. Corry, MD; Cesar A. Arias, MD/PhD; Max W. Adelman, MD, MS (he/him/his)"
510,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=510,M1.,M1. Clinical studies of fungal infections,,P-1950,"Updated Epidemiology of Candidemia in the United States, 2015-2024: Using A Large Nation-Wide Electronic Health Record Database","Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"María A. Pérez-Ardila, MD (she/her/hers)",Postdoctoral research fellow,Houston Methodist Research Institute,"Houston, TX, United States",1,5,"María A. Pérez-Ardila, MD (she/her/hers)","Khush Patel, MD MS; Laila Bekhet, n/a; Cesar A. Arias, MD/PhD; Max W. Adelman, MD, MS (he/him/his); Masayuki Nigo, MD, MSc"
511,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=511,M1.,M1. Clinical studies of fungal infections,,P-1949,Candida spp. colonization in critically ill patients: Risk factors and outcomes,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"María A. Pérez-Ardila, MD (she/her/hers)",Postdoctoral research fellow,Houston Methodist Research Institute,"Houston, TX, United States",1,26,"María A. Pérez-Ardila, MD (she/her/hers)","Luisannys I. Lozada Pinto, BS; Truc Cecilia Tran, PharmD; Rodrigo P. Baptista, PhD; Diana Panesso-botero, PhD (she/her/hers); Marissa Schettino Intriago, MPH; Husna Malikzad, MD; Shiva Murali, n/a; Andrea M. Detranaltes, BS; An Dinh, BE; Kavindra Singh, PhD; Shubhra Singh, PhD; Asmita Ghosh, MPH; Roberta Higgins, BS; Giselle Ortiz, BS; Abigail A. Amaya, BS; Muhammad Virk, MBBS; Kirsten Rydell, MS; Mary North Jones, n/a; Rachel Atterstrom, MPH; Blake M. Hanson, MS, PhD; Samuel A. Shelburne, MD, PhD; Tor Savidge, PhD; David B. Corry, MD; J. Christian Perez, PhD; Cesar A. Arias, MD/PhD; Max W. Adelman, MD, MS (he/him/his)"
512,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=512,M1.,M1. Clinical studies of fungal infections,,P-1948,Mortality and Safety Outcomes of Isavuconazole in Patients with Invasive Aspergillosis and Impaired Liver Function: A SECURE Trial Emulation Approach,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,Ming-Ying Ai,Pharmacist,Far-Eastern Memorial Hospital,"New Taipei, Taipei, Taiwan (Republic of China)",1,2,Ming-Ying Ai,"Wei-Lun Chang, n/a; Ming-Shyan Wang, n/a"
513,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=513,M1.,M1. Clinical studies of fungal infections,,P-1947,Aspergillus Susceptibility Trends in High-risk Hematologic Malignancy Patients with Pulmonary Infections,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,Lylybell Y. Zhou (she/her/hers),Medical Student,"University of South Florida, Morsani College of Medicine","Tampa, FL, United States",1,3,Lylybell Y. Zhou (she/her/hers),"Rajshri Joshi, DO, PhD; Ana Velez, MD; Ju Hee Katzman, MD"
514,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=514,M1.,M1. Clinical studies of fungal infections,,P-1946,Candida auris in Metropolitan Atlanta: Risk Factors for Mortality and Microbiologic Persistence,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Lucy S. Witt, MD, MPH, MSc (she/her/hers)",Assistant Professor,Emory University,"Atlanta, GA, United States",1,6,"Lucy S. Witt, MD, MPH, MSc (she/her/hers)","Susan M. Ray, MD; Jessica Howard-Anderson, MD, MSc (she/her/hers); Stepy Thomas, MPH; Shanita Shack, MPH; Amy K. Tunali, MPH; Scott Fridkin, MD"
515,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=515,M1.,M1. Clinical studies of fungal infections,,P-1945,Initial Empirical Echinocandin Therapy for Candidemia and the Risk of Ocular Candidiasis: A Retrospective Study,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Seung Hoo Lee, MD (he/him/his)",Clinical Fellow,"Samsung Medical Center, Sungkyunkwan University School of Medicine","Seoul (Gangnam-gu), Seoul-t'ukpyolsi, Republic of Korea",1,7,"Seung Hoo Lee, MD (he/him/his)","Jinyoung Yang, MD; Jae-Hoon Ko, MD; Sun Young Cho, MD, PhD; Cheol-In Kang, MD, PhD; Doo Ryeon Chung, MD, PhD; Kyong Ran Peck, MD, PhD; Kyungmin Huh, MD"
516,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=516,M3.,M3. Studies of the pathogenesis of fungal infections,,P-1944,Previously Unrecognized Candida auris Gut Colonization in Critically Ill Patients.,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Luisannys I. Lozada Pinto, BS",Clinical Research Specialist,Houston Methodist Academic Institute,"Houston, TX, United States",1,26,"Luisannys I. Lozada Pinto, BS","Truc Cecilia Tran, PharmD; Rodrigo P. Baptista, PhD; Diana Panesso-botero, PhD (she/her/hers); Marissa Schettino Intriago, MPH; Husna Malikzad, MD; Shiva Murali, n/a; Andrea M. Detranaltes, BS; An Dinh, BE; Kavindra Singh, PhD; Shubhra Singh, PhD; Luis Bejar, n/a; Asmita Ghosh, MPH; Roberta Higgins, BS; Giselle Ortiz, BS; Abigail A. Amaya, BS; Muhammad Virk, MBBS; Kirsten Rydell, MS; Mary North Jones, n/a; Rachel Atterstrom, MPH; Blake M. Hanson, MS, PhD; Samuel A. Shelburne, MD, PhD; Tor Savidge, PhD; David B. Corry, MD; J. Christian Perez, PhD; Cesar A. Arias, MD/PhD; Max W. Adelman, MD, MS (he/him/his)"
517,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=517,M1.,M1. Clinical studies of fungal infections,,P-1943,Outcome of invasive Candida infections in Europe and the US: Results from an ongoing multinational study [2024-2026],"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Virtual,Laman Rahimli (she/her/hers),Researcher,"University of Cologne, Faculty of Medicine and University Hospital Cologne, Department I of Internal Medicine, Excellence Center for Medical Mycology (ECMM), Cologne, NRW, Germany; University of Cologne, Faculty of Medicine and University Hospital Cologne, Institute of Translational Research, Cologne Excellence Cluster on Cellular Stress Responses in Aging-Associated Diseases (CECAD), Cologne, NRW, Germany","Cologne, Nordrhein-Westfalen, Germany",1,16,Laman Rahimli (she/her/hers),"Nijat Azimli, n/a; Natalia Vasenda, M.Sc.; Jon Salmanton-Garcia, MSc, MPH, PhD (he/him/his); Rosanne Sprute, Dr.; Iker Falces-Romero, n/a; Maricela Valerio, MD, PhD; Ana Soriano, n/a; Andrea Gutierrez Villanueva, n/a; Patricia Monzo-Gallo, n/a; Carolina Garcia-Vidal, n/a; Frank Hanses, n/a; Jose A. Vazquez, MD, FACP, FIDSA; Patrick Yu, n/a; Ulrike Scharmann, n/a; Oliver A. Cornely, Prof. Dr.; Danila Seidel, PhD"
518,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=518,M1.,M1. Clinical studies of fungal infections,,P-1942,Candidozyma auris Susceptibility from Michigan Hospitals to Rezafungin and Nine Other Antifungal Agents,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Katherine Klamer, MLS(ASCP)CM",Clinical Scholar Laboratory,Henry Ford Health System,"Grosse Pointe Woods, MI, United States",1,4,"Katherine Klamer, MLS(ASCP)CM","Ashish Bhargava, MD; Leonard Johnson, MD; Mamta Sharma, MD; Louis Saravoltaz, MD"
519,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=519,M1.,M1. Clinical studies of fungal infections,,P-1941,Risk Factors for Developing Candidemia after Gastrointestinal Perforation and/or Ischemia and Its Outcomes: A Matched Case-Control Study,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Myeongji Kim, MD",Fellow,Mayo Clinic,"Rochester, MN, United States",1,7,"Myeongji Kim, MD","Nischal Ranganath, MD, PhD (he/him/his); Sofia Molina Garcia, MD; Kemar O. Barrett, M.B.B.S; Ryan W. W. Stevens, Pharm.D. (he/him/his); Allison LeMahieu, MS; Veljko Strajina, M.D.; Aditya Shah, MBBS"
520,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=520,M1.,M1. Clinical studies of fungal infections,,P-1939,"Characteristics, Treatment, and Outcomes of Fluconazole-Susceptible and Non-Susceptible Candidemia: A Large Network Analysis","Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,Isabel C. Campa (she/her/hers),Pharmacy Student,University of Georgia College of Pharmacy,"Valdosta, GA, United States",1,4,Isabel C. Campa (she/her/hers),"Molly C. Studebaker, n/a; Martin Krsak, MD, MSc, FASAM; Andrés F. Henao Martínez, MD, MPH (he/him/his); Daniel B. Chastain, Pharm.D., BCIDP, AAHIVP, FIDSA"
521,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=521,T4.,T4. Social determinants of health,,P-2065,Social Determinants of Health Affecting Management of Care in Patients with Infective Endocarditis,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Winston D. Fu, BS (he/him/his)",,Medical Student,Cooper Medical School of Rowan University,1,5,"Winston D. Fu, BS (he/him/his)","Allison N. Davis, BS; Madeline King, PharmD; Lisa Pedroza, MD; Henry S. Fraimow, MD; Carlo Foppiano Palacios, MD, MA"
522,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=522,C12.,C12. Social determinants of health,,P-2064,The presence of learning difficulties is associated with higher disease burden in patients diagnosed with influenza: a real-world survey in an older population,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Fritha Hennessy, PhD",Associate Director,"Adelphi Real World, Bollington, United Kingdom","Bollington, England, United Kingdom",1,4,"Fritha Hennessy, PhD","Abid A. Kabir, MSc; Annabelle Nicholson, BSc; James Lucas, BSc; James Piercy, MSc"
523,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=523,S7.,S7. Antibiotic Stewardship: Social determinants of health,,P-2063,Who Gets What? Examining Demographic Influences on Antibiotic Prescriptions for Hospitalized Patients with Community-Acquired Pneumonia,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Elizabeth Savage, DO",,University of Kansas School of Medicine,"Overland Park, Kansas, United States",1,4,"Elizabeth Savage, DO","Kellie Wark, MD; Joanna Kimball, MD; Kathryn Lamberton, PharmD (she/her/hers); Gabe Haas, MPH"
524,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=524,C12.,C12. Social determinants of health,,P-2062,"Hepatitis B Serostatus in the New York City Jail System, 2019–2023","Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Chibuzo U. Enemchukwu, MD, MS (she/her/hers)","Director, Population Health Initiatives; Viral Hepatitis and HIV Clinical Care Coordination",New York City Health+Hospitals Correctional Health Services,"New York, New York, United States",1,4,"Chibuzo U. Enemchukwu, MD, MS (she/her/hers)","Batya Koenigsberg, n/a; Raphael Simonson, BA; Natalia Gonzalez Varela, MPH; Malia Mackey, MPH"
525,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=525,H6.,H6. HIV: Social determinants of health,,P-2061,Beyond Distance: Social Barriers Influence Long-acting Antiretrovirals Location Preference Among People with HIV in Rural Areas,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Emmanuel Nazaire Essam Nkodo, MD/MPH (he/him/his)",Research project coordinator,University of Nebraska Medical Center,"Omaha, NE, United States",1,8,"Emmanuel Nazaire Essam Nkodo, MD/MPH (he/him/his)","Renae Furl, MS; Elizabeth Lyden, MS; Dan Cramer, APRN-NP; Jennifer O'Neill, BSN, RN; Maureen Kubat, RN; Heather Saarela, BSPH; Titilola Labisi, PhD, MHA, MPH; Nada Fadul, MD"
526,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=526,P8.,P8. Pediatric Social determinants of health,,P-2060,Sociodemographic Disparities and Their Possible Impact on the Epidemiology of Pediatric Community Acquired Bacteremia,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Diana Tasher, MD (she/her/hers)",Head of Pediatric Infectious Diseases Unit,"Pediatric Infectious Diseases Unit, Edith Wolfson Medical Center, Holon /Sackler School of Medicine, Tel-Aviv University","Holon, Tel Aviv, Israel",1,6,"Diana Tasher, MD (she/her/hers)","Michal Barzel, Dr.; Eli Somekh, Dr.; Alexandra Gleizer, Dr.; Judith Shindler, na; Orna Schwartz, phd; Maya Heled-Akiva, Dr."
527,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=527,C12.,C12. Social determinants of health,,P-2059,Association of Race and Ethnicity With Antibiotic Resistance,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Deepali Tailor, B.S. (she/her/hers)",N/A,Oakland University William Beaumont School of Medicine,"San Luis Obispo, CA, United States",1,1,"Deepali Tailor, B.S. (she/her/hers)","Matthew Sims, MD, PhD (he/him/his)"
528,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=528,H6.,H6. HIV: Social determinants of health,,P-2058,"Healthcare Utilization Before and After Enrollment in the New York City Health + Hospitals/Bellevue Health Equity Action Team, 2022-2024","Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Cooper Urban, BS (he/him/his)",Medical Student,New York University Grossman School of Medicine,"North Java, NY, United States",1,6,"Cooper Urban, BS (he/him/his)","Emma R. Boockvar, BA; Nicola Medrano, PA; Jason Felder, MPH (he/him/his); Ashley Augustin, BA; Dorothy Knutsen, MD; Ofole Mgbako, MD, MS (he/him/his)"
529,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=529,C12.,C12. Social determinants of health,,P-2057,Social Determinants of Health (SDOH) are Associated with Non-Intravascular Device (IVAD) Related Adverse Events (AE) in Patients Treated with Outpatient Parenteral Antimicrobial Therapy (OPAT),"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Colin Samoriski, MD",Assistant Professor,University of Rochester,"Rochester, NY, United States",1,2,"Colin Samoriski, MD","Mike Sportiello, MD-PhD (he/him/his); Alexandra Yamshchikov, MD"
530,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=530,H6.,H6. HIV: Social determinants of health,,P-2056,Impact of social determinants and care access on outcomes for people with HIV at a Ryan White funded clinic,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Coby L. Bessinger, MD (she/her/hers)",Resident,University of Kentucky College of Medicine,"New Orleans , LA, United States",1,3,"Coby L. Bessinger, MD (she/her/hers)","Tiffany Stivers, MSN, APRN; Alice C. Thornton, MD; Armaghan-e-Rehman Mansoor, MD"
531,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=531,C12.,C12. Social determinants of health,,P-2055,County-Level Social Vulnerability Index and Infectious Disease Mortality Among Adults in the United States,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Birgit Agyeiwaah Baah, MBChB MSc MPhil (she/her/hers)",Clinical Extern,Altru Health System,"Grand Forks, ND, United States",1,6,"Birgit Agyeiwaah Baah, MBChB MSc MPhil (she/her/hers)","Kwabena Asante Asabere, MBChB; Aimee Eyram Eklu, MBChB; Una Kanor, MD; George Akwetey Junior, MBChB, MPH; Wendy Priya Miranda, MBChB; Frederick Dapaah-Siakwan, MD"
532,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=532,H6.,H6. HIV: Social determinants of health,,P-2054,When Crisis Meets Context: Social Determinants of Health for People Living with HIV Presenting to an Urban Emergency Department,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Amanda Varnauskas, MSPH (she/her/hers)",Research Program Manager,Johns Hopkins University,"Baltimore, MD, United States",1,5,"Amanda Varnauskas, MSPH (she/her/hers)","Gaby Dashler, BS; David Rudolph, M.D.; Holly Everett, n/a; Sarah Hill-Yeterian, MD; Bhakti Hansoti, MBChB, PhD, MPH"
533,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=533,J5.,J5. Quality Improvement,,P-2053,Enhancing Diabetic Foot Ulcer Outcomes: A Multifaceted Initiative at a Safety-Net Wound Care Clinic,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Yuriko Fukuta, MD, PhD, CWSP (she/her/hers)",Associate Professor,Baylor College of Medicine,"Houston, TX, United States",1,10,"Yuriko Fukuta, MD, PhD, CWSP (she/her/hers)","Judy C. Amaya, PT, DPT; Dora Romo Glaser, PT, DPT; Nikki Lynn Lee, RN, CCM; Lorna C. Bautista, PT, DPT, GCS; Gladi Lopez-Valentin, PT, DPT; Adrienne Woods, PT, CLT-LANA; Tabitha Jackson, PT, CLT-LANA; Casey Chen, BSA; E Lee Poythress, MD; Sharon Venus, RN, CCM"
534,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=534,J5.,J5. Quality Improvement,,P-2052,From Challenge to Opportunity: Stewardship Strategies to Improve Blood Culture Utilization and Reduce Waste Amidst Global Shortage,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"William D. Brown, MD",Resident Physician,University of Utah,"Salt Lake City, Utah, United States",1,5,"William D. Brown, MD","Emily S. Spivak, MD, MHS (she/her/hers); Valerie M. Vaughn, MD, MSc (she/her/hers); Hannah Imlay, MD, MS (she/her/hers); Chaorong Wu, PhD; Rachel Codden, MPH"
535,http://local.dev.conferencecrawler.com/IDWEEK2025/index.cfm?thisID=535,J5.,J5. Quality Improvement,,P-2051,Clean Teeth and Oral Airway: A Strategy to Reduce IVAC Plus SIR,"Wednesday, October 22, 2025",12:15 PM - 1:30 PM,,Poster Hall B4-B5,"Tomoko Ray, MBA, RRT, CIC, VA-BC",Infection Prevention Supervisor,AdventHealth Orlando,"Apopka, FL, United States",1,0,"Tomoko Ray, MBA, RRT, CIC, VA-BC",
