session_id,source_url,primary_track,all_tracks,track_count,session_type,session_number,session_title,full_title,date,time,timezone,location,cme_hours,moc_hours,cne_hours,acpe_hours,acpe_number,pace_hours,ce_broker_hours,primary_speaker_name,primary_speaker_title,primary_speaker_department,primary_speaker_institution,primary_speaker_location,total_speakers,all_speakers,disclosure_count,disclosures,presentation_count,presentation_titles,presentation_times,presentation_speakers
89,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=89,,,0,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Maricar Malinis, MD (she/her/hers)",Associate Professor of Medicine,,Section of Infectious Diseases,"Vanderbilt University Medical Center, TN, United States",2,"Maricar Malinis, MD (she/her/hers); Raymund Razonable, MD (he/him/his)",2,\1: No financial relationships to disclose. | \1: No financial relationships to disclose.,21,Case Presentations | Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Compensation & Legal Review | Career Breakouts Introductions | Career Breakouts Round 1 | Careers in Antimicrobial Stewardship | Careers in Clinical Practice | Careers in Global Health | Careers in Hospital Epidemiology and Infection Prevention | Careers in Industry | Careers in Medical Education | Careers in Public Health | Careers in Research | Career Breakouts Round 2 | Career Breakouts Round 3,8:00 AM - 9:50 AM | 8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:00 AM - 10:25 AM | 10:25 AM - 10:45 AM | 10:50 AM - 11:15 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Natasha Chida, MD, MSPH | Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD | Clark Bosslet |  |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | George Diaz, MD, FIDSA (he/him/his) | Krutika Kuppalli, MD, FIDSA (she/her/hers) | Lisa L. Maragakis, MD, MPH (she/her/hers) | Anu Osinusi, MD | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD |  |"
90,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=90,,,0,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Lisa Maragakis, MD, MPH (she/her/hers)","Professor of Medicine, Senior Director of Infection Prevention",,Johns Hopkins Medicine,"Baltimore, MD, United States",2,"Lisa Maragakis, MD, MPH (she/her/hers); Rekha Murthy, MD (she/her/hers)",2,\1: No financial relationships to disclose. | \1: No financial relationships to disclose.,21,Case Presentations | Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Compensation & Legal Review | Career Breakouts Introductions | Career Breakouts Round 1 | Careers in Antimicrobial Stewardship | Careers in Clinical Practice | Careers in Global Health | Careers in Industry | Careers in Medical Education | Careers in Public Health | Careers in Research | Careers in Transplant/Oncology ID - no slides needed | Career Breakouts Round 2 | Career Breakouts Round 3,8:00 AM - 9:50 AM | 8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:00 AM - 10:25 AM | 10:25 AM - 10:45 AM | 10:50 AM - 11:15 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Natasha Chida, MD, MSPH | Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD | Clark Bosslet |  |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | George Diaz, MD, FIDSA (he/him/his) | Krutika Kuppalli, MD, FIDSA (she/her/hers) | Anu Osinusi, MD | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD | Maricar F. Malinis, MD (she/her/hers) |  |"
91,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=91,,,0,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Krutika Kuppalli, MD, FIDSA (she/her/hers)","Associate Professor, Infectious Diseases and Public Health",,UT Southwestern,"Dallas, TX, United States",2,"Krutika Kuppalli, MD, FIDSA (she/her/hers); Wilfredo Matias, MD MPH",2,\1: Gilead Sciences: Advisor/Consultant; Safety Platform for Emergency Vaccines (SPEAC): Advisor/Consultant; World Health Organization: Advisor/Consultant | \1: No financial relationships to disclose.,21,Case Presentations | Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Compensation & Legal Review | Career Breakouts Introductions | Career Breakouts Round 1 | Careers in Antimicrobial Stewardship | Careers in Clinical Practice | Careers in Hospital Epidemiology and Infection Prevention | Careers in Industry | Careers in Medical Education | Careers in Public Health | Careers in Research | Careers in Transplant/Oncology ID - no slides needed | Career Breakouts Round 2 | Career Breakouts Round 3,8:00 AM - 9:50 AM | 8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:00 AM - 10:25 AM | 10:25 AM - 10:45 AM | 10:50 AM - 11:15 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Natasha Chida, MD, MSPH | Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD | Clark Bosslet |  |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | George Diaz, MD, FIDSA (he/him/his) | Lisa L. Maragakis, MD, MPH (she/her/hers) | Anu Osinusi, MD | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD | Maricar F. Malinis, MD (she/her/hers) |  |"
92,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=92,,,0,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"George Diaz, MD, FIDSA (he/him/his)",Chief of Medicine,,Providence Regional Medical Center Everett,"Edmonds, WA, United States",2,"George Diaz, MD, FIDSA (he/him/his); Alice Han, MD (she/her/hers)",2,"\1: Gilead, Inc: Grant/Research Support; N5 sensors: Grant/Research Support | \1: No financial relationships to disclose.",21,Case Presentations | Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Compensation & Legal Review | Career Breakouts Introductions | Career Breakouts Round 1 | Careers in Antimicrobial Stewardship | Careers in Global Health | Careers in Hospital Epidemiology and Infection Prevention | Careers in Industry | Careers in Medical Education | Careers in Public Health | Careers in Research | Careers in Transplant/Oncology ID - no slides needed | Career Breakouts Round 2 | Career Breakouts Round 3,8:00 AM - 9:50 AM | 8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:00 AM - 10:25 AM | 10:25 AM - 10:45 AM | 10:50 AM - 11:15 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Natasha Chida, MD, MSPH | Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD | Clark Bosslet |  |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | Krutika Kuppalli, MD, FIDSA (she/her/hers) | Lisa L. Maragakis, MD, MPH (she/her/hers) | Anu Osinusi, MD | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD | Maricar F. Malinis, MD (she/her/hers) |  |"
93,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=93,,,0,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,,,,,,0,,0,,21,Case Presentations | Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Compensation & Legal Review | Career Breakouts Introductions | Careers in Antimicrobial Stewardship | Careers in Clinical Practice | Careers in Global Health | Careers in Hospital Epidemiology and Infection Prevention | Careers in Industry | Careers in Medical Education | Careers in Public Health | Careers in Research | Careers in Transplant/Oncology ID - no slides needed | Career Breakouts Round 2 | Career Breakouts Round 3,8:00 AM - 9:50 AM | 8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:00 AM - 10:25 AM | 10:25 AM - 10:45 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Natasha Chida, MD, MSPH | Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD | Clark Bosslet |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | George Diaz, MD, FIDSA (he/him/his) | Krutika Kuppalli, MD, FIDSA (she/her/hers) | Lisa L. Maragakis, MD, MPH (she/her/hers) | Anu Osinusi, MD | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD | Maricar F. Malinis, MD (she/her/hers) |  |"
94,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=94,,,0,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,,,,,,0,,0,,21,Case Presentations | Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Compensation & Legal Review | Career Breakouts Round 1 | Careers in Antimicrobial Stewardship | Careers in Clinical Practice | Careers in Global Health | Careers in Hospital Epidemiology and Infection Prevention | Careers in Industry | Careers in Medical Education | Careers in Public Health | Careers in Research | Careers in Transplant/Oncology ID - no slides needed | Career Breakouts Round 2 | Career Breakouts Round 3,8:00 AM - 9:50 AM | 8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:00 AM - 10:25 AM | 10:50 AM - 11:15 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Natasha Chida, MD, MSPH | Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD | Clark Bosslet |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | George Diaz, MD, FIDSA (he/him/his) | Krutika Kuppalli, MD, FIDSA (she/her/hers) | Lisa L. Maragakis, MD, MPH (she/her/hers) | Anu Osinusi, MD | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD | Maricar F. Malinis, MD (she/her/hers) |  |"
95,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=95,,,0,Premeeting Workshop,,PW04 - Fellows' Day Workshop ($),PW04 - Fellows' Day Workshop ($),"Sunday, October 19, 2025",8:00 AM - 12:15 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,Clark Bosslet,Clark Bosslet,,,,1,Clark Bosslet,0,,21,Case Presentations | Case Presentation #1 | Case Presentation #2 | Case Presentation #3 | Case Presentation #4 | Case Presentation #5 | Case Presentation #6 | Case Presentation #7 | Career Breakouts Introductions | Career Breakouts Round 1 | Careers in Antimicrobial Stewardship | Careers in Clinical Practice | Careers in Global Health | Careers in Hospital Epidemiology and Infection Prevention | Careers in Industry | Careers in Medical Education | Careers in Public Health | Careers in Research | Careers in Transplant/Oncology ID - no slides needed | Career Breakouts Round 2 | Career Breakouts Round 3,8:00 AM - 9:50 AM | 8:10 AM - 8:25 AM | 8:25 AM - 8:40 AM | 8:40 AM - 8:55 AM | 8:55 AM - 9:10 AM | 9:10 AM - 9:25 AM | 9:25 AM - 9:40 AM | 9:40 AM - 9:55 AM | 10:25 AM - 10:45 AM | 10:50 AM - 11:15 AM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 10:50 AM - 12:15 PM | 11:20 AM - 11:45 AM | 11:50 AM - 12:15 PM,"Natasha Chida, MD, MSPH | Ana Khazan, MD, MPH (she/her/hers) | Samar Waqar, MD, MBBS | Jillian L. Peters, MD | Rahma AlDhaheri, MD | Deesha Bhojwani, MD | Annie McGregor, DO | Rebekah Thompson, MD |  |  | Payal K. Patel, MD, MPH, FIDSA (she/her/hers) | George Diaz, MD, FIDSA (he/him/his) | Krutika Kuppalli, MD, FIDSA (she/her/hers) | Lisa L. Maragakis, MD, MPH (she/her/hers) | Anu Osinusi, MD | Jennifer O. Spicer, MD, MPH, MHPE | Candice J. McNeil, MD, MPH (she/her/hers) | Cesar A. Arias, MD/PhD | Maricar F. Malinis, MD (she/her/hers) |  |"
96,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=96,,,0,Symposium,,"90 - Pathogenesis of Neurological Diseases From Non-CNS Pathogens, What We Can Learn From Murine Models","90 - Pathogenesis of Neurological Diseases From Non-CNS Pathogens, What We Can Learn From Murine Models","Monday, October 20, 2025",3:15 PM - 4:30 PM,,Thomas B. Murphy Ballroom 4,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Cirle Warren, MD",Research Professor of Medicine,,University of Virginia,"Charlottesville, VA, United States",1,"Cirle Warren, MD",1,"\1: Adovate, LLC: Grant/Research Support; Ferring Pharmaceuticals, Inc.: Site PI for ROAR",2,Role of CD4 T Cells in HIV-Associated Neuroinflammation | Neurological Post-Acute Sequelae of COVID-19 in Humans and Mice,3:15 PM - 3:40 PM | 3:40 PM - 4:05 PM,"Smita S. Iyer, MS, Ph.D | Stanley Perlman, MD, PhD (he/him/his)"
97,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=97,,,0,Symposium,,81 - Challenging Consults in Clinical Mycology,81 - Challenging Consults in Clinical Mycology,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B405-B407,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Andy Miller, MD",Associate Professor of Clinical Medicine,Infectious Diseases,Hospital for Special Surgery,"New York, NY, United States",1,"Andy Miller, MD",1,\1: Eli Lilly & Co.: Stocks/Bonds (Private Company),2,Fungal Meningitis | Chronic Mucocutaneous Candidiasis: Underlying Diagnoses and Treatment,3:15 PM - 3:40 PM | 3:40 PM - 4:05 PM,"Tom Walsh | Alexandra Freeman, MD"
98,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=98,,,0,Symposium,,83 - Contaminated Blood Cultures: Impactful or Inconvenient?,83 - Contaminated Blood Cultures: Impactful or Inconvenient?,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Erica Prochaska, MD, MHS (she/her/hers)",Assistant Professor,,Johns Hopkins University,"Columbia, MD, United States",1,"Erica Prochaska, MD, MHS (she/her/hers)",1,\1: No financial relationships to disclose.,2,Are Blood Culture Contaminants Common and Do They Matter? | Prevention of Blood Culture Contamination: Technique Versus Technology,3:15 PM - 3:40 PM | 3:40 PM - 4:05 PM,"Michiel Schinkel, MD, PhD, Msc (he/him/his) | Mark E. Rupp, MD (he/him/his)"
99,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=99,,,0,Named Lecture,,80 - Caroline B. Hall Lecture​,80 - Caroline B. Hall Lecture​,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,Ballroom (Hall B1),,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Asuncion Mejias, MD, PhD, MsCS (she/her/hers)","Member, St Jude Faculty","Pediatrics, Infectious Diseases",St Jude Children's Research Hospital,"Memphis, TN, United States",1,"Asuncion Mejias, MD, PhD, MsCS (she/her/hers)",1,\1: No financial relationships to disclose.,1,Awards Presentation,3:30 PM - 3:45 PM,
100,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=100,,,0,Symposium,,83 - Contaminated Blood Cultures: Impactful or Inconvenient?,83 - Contaminated Blood Cultures: Impactful or Inconvenient?,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B302-B304,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Mark Rupp, MD (he/him/his)","Professor and Interim Chair, Department of Internal Medicine",Internal Medicine,University of Nebraska Medical Center,"Omaha, NE, United States",1,"Mark Rupp, MD (he/him/his)",1,\1: Magnolia: Grant/Research Support,2,Are Blood Culture Contaminants Common and Do They Matter? | But What If It’s Real? Considerations for High-Risk Populations,3:15 PM - 3:40 PM | 4:05 PM - 4:30 PM,"Michiel Schinkel, MD, PhD, Msc (he/him/his) | Erica Prochaska, MD, MHS (she/her/hers)"
101,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=101,,,0,Symposium,,81 - Challenging Consults in Clinical Mycology,81 - Challenging Consults in Clinical Mycology,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B405-B407,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Alexandra Freeman, MD",Senior clinician,,National Institute of Allergy and Infectious Diseases,"Bethesda, MD, United States",1,"Alexandra Freeman, MD",1,\1: No financial relationships to disclose.,2,Fungal Meningitis | Fungal Bone and Joint Infections,3:15 PM - 3:40 PM | 4:05 PM - 4:30 PM,"Tom Walsh | Andy O. Miller, MD"
102,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=102,,,0,Symposium,,"90 - Pathogenesis of Neurological Diseases From Non-CNS Pathogens, What We Can Learn From Murine Models","90 - Pathogenesis of Neurological Diseases From Non-CNS Pathogens, What We Can Learn From Murine Models","Monday, October 20, 2025",3:15 PM - 4:30 PM,,Thomas B. Murphy Ballroom 4,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Stanley Perlman, MD, PhD (he/him/his)",Professor of Microbiology and Immunology,,University of Iowa,"IOWA CITY, IA, United States",1,"Stanley Perlman, MD, PhD (he/him/his)",1,\1: No financial relationships to disclose.,2,Role of CD4 T Cells in HIV-Associated Neuroinflammation | Clostridioides difficile-Induced Neuroinflammation: Clinical Implications and Effects on Brain Function,3:15 PM - 3:40 PM | 4:05 PM - 4:30 PM,"Smita S. Iyer, MS, Ph.D | Cirle A. Warren, MD"
103,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=103,,,0,Symposium,,89 - Pandemics Throughout History,89 - Pandemics Throughout History,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B308-B309,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Judith Currier, MD, MSc (she/her/hers)",Professor of Medicine/ Executive Vice Chair for Research,Medicine,David Geffen School of Medicine at University of California,"Los Angeles, CA, United States",1,"Judith Currier, MD, MSc (she/her/hers)",1,"\1: Merck and Company, Inc.: Advisor/Consultant, DSMB Member",2,"Influenza, 1348 Black Death: Times and Microbes Change, But Societal Responses Do Not | Finding the Next Pandemic",3:15 PM - 3:40 PM | 4:05 PM - 4:30 PM,"Powel Kazanjian, MD PhD (he/him/his) | Nahid Bhadelia, MD, MALD (she/her/hers)"
104,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=104,,,0,Symposium,,91 - Practical Aspects of Antimicrobial Stewardship on Immunocompromised Patients,91 - Practical Aspects of Antimicrobial Stewardship on Immunocompromised Patients,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B206,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Madeleine Heldman, MD, MS",Assistant Professor,,Duke University,"Durham, NC, United States",1,"Madeleine Heldman, MD, MS",1,\1: Karius Inc.: Advisor/Consultant,2,Successful Interventions in Immunocompromised Stewardship: Where to Start | Diagnostic Stewardship in Immunocompromised Patients,3:15 PM - 3:40 PM | 4:05 PM - 4:30 PM,"Sage Greenlee, PharmD, BCIDP | Jennifer Pisano, MD"
105,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=105,,,0,Symposium,,85 - ID Consultations in the Era of High Acuity and High Volume: Innovative Strategies to Bolster the ID Workforce,85 - ID Consultations in the Era of High Acuity and High Volume: Innovative Strategies to Bolster the ID Workforce,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,Thomas B. Murphy Ballroom 1,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Becky DeCamillis, PA-C, MLS(ASCP)","APP Medical Director, Novant Health Institute of Safety & Quality",,Novant Health,"Winston-Salem, NC, United States",1,"Becky DeCamillis, PA-C, MLS(ASCP)",1,\1: No financial relationships to disclose.,2,An Innovative Infectious Diseases Hospitalist Model: Supporting Lean ID Teams | Infectious Disease Clinical Pharmacists: Opportunities for Growth,3:15 PM - 3:40 PM | 4:05 PM - 4:30 PM,"Frances Ue | Keenan Ryan, PharmD, PhC, MPH (he/him/his)"
106,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=106,,,0,Named Lecture,,80 - Caroline B. Hall Lecture​,80 - Caroline B. Hall Lecture​,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,Ballroom (Hall B1),,,,,JA0007082-9999-24-002-L01-P; PACE C,,,,,,,,0,,0,,1,Mechanistic Insights into RSV Infection: A roadmap for Universal Prevention,3:45 PM - 4:30 PM,"Asuncion Mejias, MD, PhD, MsCS (she/her/hers)"
107,http://local.dev.conferencecrawler.com/IDWEEK2025/sessions.cfm?thisID=107,Oral Abstract Session,Oral Abstract Session,1,Oral Abstract,,88 - New Anti-Infective Agents,88 - New Anti-Infective Agents,"Monday, October 20, 2025",3:15 PM - 4:30 PM,,B213-B214,,,,,JA0007082-9999-24-002-L01-P; PACE C,,,"Pranita Tamma, MD, MHS",Associate Professor,,Johns Hopkins University School of Medicine,"Baltimore, Maryland, United States",2,"Pranita Tamma, MD, MHS; Christopher Bland, Pharm.D., FCCP, FIDSA, BCPS",2,"\1: No financial relationships to disclose. | \1: Merck and Company, Inc.: Honoraria; Nestle Health Sciences: Honoraria; SHIONOGI and CO., LTD.: Advisor/Consultant, Honoraria",6,"A Novel SARS-CoV-2 mRNA Virus-Like Particle Vaccine is Highly Potent and Well Tolerated in Adults in a Phase I Randomized Clinical Trial | Lacticaseibacillus rhamnosus CRL 2244 extracts as an antimicrobial strategy against Community- and Hospital-Associated Staphylococcus aureus | MDL-001: A Broad-Spectrum Antiviral Targeting the Thumb-1 Domain of Viral Polymerases | Efficacy and safety results from the Phase 2 clinical trial of pritelivir versus foscarnet for treatment of acyclovir-refractory and/or resistant mucocutaneous HSV infections in immunocompromised subjects | Phage Therapy with BX211 Demonstrates Positive Efficacy Results in Staphylococcus Aureus Diabetic Foot Osteomyelitis: Phase 2 Randomized, Double-Blind, Placebo-Controlled Clinical Trial | EDP-323, a First-in-Class, Oral, RSV-Specific, Non-Nucleoside L-Protein Inhibitor Antiviral Rapidly Reduces Total RSV Symptoms, Lower Respiratory Tract RSV Symptoms and Viral Load After Human Viral Challenge",3:15 PM - 3:27 PM | 3:27 PM - 3:39 PM | 3:39 PM - 3:51 PM | 3:51 PM - 4:03 PM | 4:03 PM - 4:15 PM | 4:15 PM - 4:27 PM,"Tope Oyedele, MD (he/him/his) | Cecilia Rodriguez, PhD | Virgil Woods, BS, MPhil, | Camille N. Kotton, MD, FIDSA, FAST | Benjamin A. Lipsky, MD, FACP, FIDSA, FRCP, FRCPS | John DeVincenzo, MD"
