presenting_author_details,presenting_author_name,co_authors,poster_id,url,error
"Resident;Mayo Clinic;Rochester, Minnesota, United States","Luis R. Gasca, MD","[{'name': 'Patrick Crowley, DO', 'details': 'Mayo Clinic;Rochester, Minnesota, United States'}, {'name': 'Nicholas Streck, PhD, MLS(ASCP)', 'details': 'Mayo Clinic;Rochester, Minnesota, United States'}, {'name': 'Larry M. Baddour, MD', 'details': 'Physician;Mayo Clinic College of Medicine;Rochester, MN, United States'}, {'name': 'Daniel C. DeSimone, MD', 'details': 'Physician;Mayo Clinic;Rochester, MN, United States'}]",694168,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=330,
"Assistant professor;Fujita Health University School of Medicine;Toyoake, Aichi, Japan","Yuya Kawamoto, MD","[{'name': 'Yohei Doi, MD, PHD (he/him/his)', 'details': 'Professor of Medicine;University of Pittsburgh;Toyoake, Aichi, Japan'}, {'name': 'Hitoshi Honda, MD', 'details': 'Clinical Professor;Fujita Health University School of Medicine;Toyoake, Aichi, Japan'}]",694785,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=331,
"Physician;Beth Israel Deaconess Medical Center;Boston, Massachusetts, United States","Hawra J. Al Lawati, MD (she/her/hers)","[{'name': 'Ellen Earle, MD', 'details': 'Beth Israel Deaconess Medical Center;Boston, Massachusetts, United States'}, {'name': 'Matthew S. Lee, M.D.', 'details': 'Attending Physician;Beth Israel Deaconess Medical Center;Boston, Massachusetts, United States'}]",694666,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=332,
"Staff;Seoul National University College of Medicine;Seoul, Seoul-t'ukpyolsi, Republic of Korea","Chan Mi Lee, MD, PhD (she/her/hers)","[{'name': 'Yunsang Choi, MD', 'details': 'Fellow, Division of Infectious Diseases;Seoul National University Bundang Hospital;Seoungnam-si, Kyonggi-do, Republic of Korea'}, {'name': 'Seong Jin Choi, MD, PhD', 'details': 'Assistant Professor;Seoul National University Bundang Hospital;Seoungnam-si, Kyonggi-do, Republic of Korea'}, {'name': 'Song Mi Moon, MD, PhD', 'details': 'Associate Professor, Division of Infectious Diseases;Seoul National University College of Medicine;Seoungnam-si, Kyonggi-do, Republic of Korea'}, {'name': 'Eu Suk Kim, MD,Ph D', 'details': 'Dr;Seoul National University Bundang Hospital;Bundang-gu, Kyonggi-do, Republic of Korea'}, {'name': 'Hong Bin Kim, MD, PhD', 'details': ""Professor, Division of Infectious Diseases;Seoul National University College of Medicine;Seoul, Seoul-t'ukpyolsi, Republic of Korea""}, {'name': 'Sin Young Ham, MD', 'details': 'Fellowship;Seoul National University Bundang Hospital;Seongnam, Kyonggi-do, Republic of Korea'}, {'name': 'Jeong Su Park, M.D. / Ph.D.', 'details': ""Associate professor;Department of Laboratory Medicine, Seoul National University Bundang Hospital;Seoul, Seoul-t'ukpyolsi, Republic of Korea""}, {'name': 'Jinki Yeom, Ph.D', 'details': ""Seoul National University College of Medicine;Jongno-gu, Seoul-t'ukpyolsi, Republic of Korea""}, {'name': 'Kyoung-Ho Song, MD, PhD (he/him/his)', 'details': 'Professor, Division of Infectious Diseases;Seoul National University College of Medicine;Seoungnam-si, Kyonggi-do, Republic of Korea'}]",688001,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=333,
"Assistant Professor;Loyola University Medical Center, United States","HeeEun Kang, MD","[{'name': 'Asif khan, MD (he/him/his)', 'details': 'Infectious Disease Fellow;Dartmouth Hitchcock Medical Center;Lebanon, New Hampshire, United States'}, {'name': 'Justin J. Kim, MD MS', 'details': 'RUSH University Medical Center;Chicago, Illinois, United States'}, {'name': 'Isabella W. Martin, MD', 'details': 'Medical Director of Microbiology;Dartmouth-Hitchcock Medical Center;Lebanon, NH, United States'}, {'name': 'Richard A. Zuckerman, MD, MPH', 'details': 'Associate Professor;Dartmouth-Hitchcock Medical Center;Lebanon, NH, United States'}]",694772,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=334,
"Physician;Zucker School of Medicine at Hofstra/Northwell;Manhasset, New York, United States","Hind El Soufi, MD","[{'name': 'Santosh Dahal, MD', 'details': 'Northwell - Long Island Jewish Medical Center;New Hyde Park, New York, United States'}, {'name': 'Thien-Ly Doan, PharmD, BCIDP', 'details': 'Clinical Pharmacy Specialist - Infectious Diseases;Long Island Jewish Medical Center;New Hyde Park, New York, United States'}, {'name': 'Rubab Sohail, MPH', 'details': 'Northwell Health;New Hyde Park, New York, United States'}, {'name': 'Cristina Sison, PhD', 'details': 'Feinstein Institutes for Medical Research;Manhasset, New York, United States'}, {'name': 'Meredith Akerman, MS', 'details': 'Northwell Health;New Hyde Park, New York, United States'}, {'name': 'Bruce Hirsch, MD', 'details': 'Assistant Professer of Infectious Diseases;Hoftsa Northwell School of Medicine;Manhasset, NY, United States'}]",694138,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=335,
"Infectious Diseases Clinical Pharmacy Specialist;University of Mississippi Medical Center;Houston, Texas, United States","Hiba Al Shaikhli, PharmD","[{'name': 'Mary Joyce B. Wingler, PharmD', 'details': 'Clinical Pharmacy Specialist;University of Mississippi Medical Center;Jackson, Mississippi, United States'}, {'name': 'Kayla R. Stover, Pharm.D. (she/her/hers)', 'details': 'Assistant Dean Jackson; Vice Chair and Professor;University of Mississippi School of Pharmacy;Jackson, MS, United States'}, {'name': 'David A. Cretella, PharmD', 'details': 'Clinical Pharmacy Specialist;University of Mississippi Medical Center;Madison, Mississippi, United States'}, {'name': 'Katie Barber, PharmD (she/her/hers)', 'details': 'Associate Professor;University of Mississippi;Jackson, MS, United States'}, {'name': 'Jamie Wagner, PharmD', 'details': 'Clinical Assistant Professor;University of Mississippi School of Pharmacy;Jackson, Mississippi, United States'}]",694212,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=336,
"Medical doctor;Hiroshima University Hospital;Hiroshima, Hiroshima, Japan","Hiroki Kitagawa, MD, PhD (he/him/his)","[{'name': 'Masato Kojima, n/a', 'details': 'Hiroshima University;Hiroshima, Hiroshima, Japan'}, {'name': 'Kayoko Tadera, n/a', 'details': 'Hiroshima University Hospital;Hiroshima, Hiroshima, Japan'}, {'name': 'Keitaro Omori, n/a', 'details': 'Hiroshima University Hospital;Hiroshima, Hiroshima, Japan'}, {'name': 'Toshihito Nomura, n/a', 'details': 'Hiroshima University Hospital;Hiroshima, Hiroshima, Japan'}, {'name': 'Norifumi Shigemoto, n/a', 'details': 'Hiroshima University Hospital;Hiroshima, Hiroshima, Japan'}, {'name': 'Hiroki Ohge, MD, PhD', 'details': 'Professor;Hiroshima University Hospital;Hiroshima, Hiroshima, Japan'}]",695586,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=337,
"Infectious Diseases;Maimonides Health;Brooklyn, New York, United States","Jessica Chung, MD MPH (she/her/hers)","[{'name': 'Khin Wathan, MBBS', 'details': 'Maimonides Health;Brooklyn, New York, United States'}, {'name': 'Aye Honey Aung, MBBS', 'details': 'Maimonides Health;Brooklyn, New York, United States'}, {'name': 'Cherry Maung Maung Aye, MBBS', 'details': 'Maimonides Health;Brooklyn, New York, United States'}, {'name': 'Franklin Liu, MBBS', 'details': 'Maimonides Health;Brooklyn, New York, United States'}, {'name': 'Monica Ghitan, MD', 'details': 'Associate Director of Infectious Diseases;Maimonides Medical Center;Brooklyn, New York, United States'}, {'name': 'Edward Chapnick, MD', 'details': 'Division Director;Maimonides Medical Center;Brooklyn, New York, United States'}, {'name': 'Yu Shia Lin, MD', 'details': 'Assistant Professor;Maimonides Medical Center;Brooklyn, New York, United States'}]",694152,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=338,
"Infectious Diseases and Medical Microbiology Resident;University of Manitoba;Winnipeg, Manitoba, Canada","Jeremy Li, MD (he/him/his)","[{'name': 'Melanie R. Baxter, n/a', 'details': 'University of Manitoba;Winnipeg, Manitoba, Canada'}, {'name': 'Andrew Walkty, MD', 'details': 'Medical Microbiologist;University of Manitoba;Winnipeg, Manitoba, Canada'}, {'name': 'James Karlowsky, PhD', 'details': 'Clinical Microbiologist;University of Manitoba;Winnipeg, Manitoba, Canada'}, {'name': 'George Zhanel, PhD', 'details': 'University of Manitoba;Winnipeg, Manitoba, Canada'}]",694615,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=339,
"Medical Student;University of Arkansas for Medical Sciences;Little Rock, Arkansas, United States","Jordan Myers, MS (she/her/hers)","[{'name': 'Juan Carlos Rico Crescencio, MD', 'details': 'Assistant Professor of Medicine;University of Arkansas for Medical Sciences, College of Medicine;Little Rock, Arkansas, United States'}, {'name': 'Ryan K. Dare, MD, MS', 'details': 'Associate Professor of Medicine;University of Arkansas for Medical Sciences, College of Medicine;Little Rock, Arkansas, United States'}, {'name': 'Jordan Myers, MS (she/her/hers)', 'details': 'Medical Student;University of Arkansas for Medical Sciences;Little Rock, Arkansas, United States'}]",694341,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=340,
"Houston Methodist;Houston, Texas, United States","James Kurian, MD","[{'name': 'Max W. Adelman, MD, MS (he/him/his)', 'details': 'Assistant Professor of Medicine;Houston Methodist Hospital;Houston, Texas, United States'}, {'name': 'Cesar A. Arias, MD/PhD', 'details': 'Professor;Houston Methodist and Weill Cornell Medical College;Houston, TX, United States'}, {'name': 'Stefano Casarin, PhD', 'details': 'Houston Methodist Hospital;Houston, Texas, United States'}, {'name': 'Ashton Connor, MD, PhD', 'details': 'Houston Methodist Hospital;Houston, Texas, United States'}, {'name': 'German Contreras, MD (he/him/his)', 'details': 'Infectious Diseases Fellow;University of Texas Medical Branch;Houston, Texas, United States'}, {'name': 'Masayuki Nigo, MD, MSc', 'details': 'Houston Methodist Hospital;Houston, Texas, United States'}]",694475,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=341,
"Staff doctor;Ribera POVISA Hospital;Vigo, Galicia, Spain","Jose Luis Lamas Ferreiro, MD (he/him/his)","[{'name': 'Ana Sanjurjo Rivo, MD', 'details': 'Hospital Povisa;Vigo, Galicia, Spain'}, {'name': 'Judith Alvarez Ortero, MD', 'details': 'Researcher;Mayo Clinic;Rochester, Minnesota, United States'}, {'name': 'Alejandra Canoa Rico, Resident', 'details': 'Ribera Povisa Hospital;Vigo, Galicia, Spain'}, {'name': 'Marta Costas Vila, Resident', 'details': 'Hospital Povisa;Vigo, Galicia, Spain'}, {'name': 'Monica Gutierrez Garcia, MD', 'details': 'Ribera Povisa Hospital;Vigo, Galicia, Spain'}, {'name': 'Laura Intanno Valerio, MD', 'details': 'Ribera Povisa Hospital;Vigo, Galicia, Spain'}, {'name': 'Javier de la Fuente Aguado, PhD', 'details': 'CHIEF OF INTERNAL MEDICINE;Hospital Povisa;Vigo, Galicia, Spain'}]",694170,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=342,
"PGY-2 Infectious Diseases Pharmacy Resident;Henry Ford Health;Philadelphia, Pennsylvania, United States","Jessica L. Mulbah, PharmD (she/her/hers)","[{'name': 'Rachel M. Kenney, PharmD, BCIDP (she/her/hers)', 'details': 'Pharmacy Specialist, Antimicrobial Stewardship;Henry Ford Hospital;Detroit, Michigan, United States'}, {'name': 'Michael Veve, PharmD, MPH', 'details': 'Infectious Diseases Pharmacist;Henry Ford Health;Detroit, Michigan, United States'}, {'name': 'Anita Shallal, MD', 'details': 'Infectious Diseases Staff Physician;Henry Ford Health;Detroit, Michigan, United States'}, {'name': 'Robert Tibbetts, PhD', 'details': 'Associate Director Microbiology;Henry Ford Health;Detroit, Michigan, United States'}, {'name': 'Jessica L. Mulbah, PharmD (she/her/hers)', 'details': 'PGY-2 Infectious Diseases Pharmacy Resident;Henry Ford Health;Philadelphia, Pennsylvania, United States'}]",694340,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=343,
"Resident PGY-3;Baylor Scott & White Medical Center Temple, Texas;Temple, Texas, United States","John C. Cravero, MD (he/him/his)","[{'name': 'Collin M. Telchik, MD (he/him/his)', 'details': 'Resident;Baylor Scott & White Medical Center;Temple, Texas, United States'}, {'name': 'Taylor Yakubik, DO', 'details': 'Baylor Scott and White;Temple, Texas, United States'}, {'name': 'Lewis Woods, IV, DO, MPH', 'details': 'Baylor Scott and White Medical Center- Temple;Temple, Texas, United States'}, {'name': 'Lauren Sisco, MD', 'details': 'Baylor Scott & White Health - Temple;Temple, Texas, United States'}]",694336,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=344,
"PGY-2 Pharmacy Resident;Nebraska Medicine;Iowa City, Iowa, United States","Josh Lechner, PharmD","[{'name': 'Patrick M. Kinn, PharmD, MPH', 'details': 'Clinical Pharmacy Specialist;University of Iowa Hospitals & Clinics;Iowa City, Iowa, United States'}, {'name': 'Dilek Ince, MD', 'details': 'Clinical Professor of Internal Medicine-Infectious Diseases;University of Iowa Hospitals & Clinics;Iowa City, Iowa, United States'}, {'name': 'Kelly M. Percival, PharmD (she/her/hers)', 'details': 'Clinical Pharmacy Specialist-Infectious Diseases;University of Iowa Health Care;Iowa City, Iowa, United States'}]",694362,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=345,
"Clinical Infectious Diseases Pharmacist;St. Joseph's Health;Syracuse, New York, United States","Julia Sessa, PharmD, BCIDP","[{'name': 'Cadhan McFadden, PharmD', 'details': ""St. Joseph's Hospital;Syracuse, New York, United States""}, {'name': 'Lisa Avery, PharmD, BCPS, BCIDP, FACCP', 'details': 'Clinical Infectious Diseases Pharmacist;St. John Fisher College Wegmans School of Pharmacy;Rochester, New York, United States'}]",694216,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=346,
"Fellow in Training;The Medical City;Pasig, National Capital Region, Philippines","Justin Allister G. Ong, MD, MBA (he/him/his)","[{'name': 'Cybele Lara R. Abad, MD', 'details': 'Clinical Associate Professor;University of the Philippines - Philippine General Hospital;Manila, National Capital Region, Philippines'}, {'name': 'Mark Carascal, Registered Microbiologist', 'details': 'Biomedical Research Unit- Clinical and Translational Research Institute- The Medical City;Manila, National Capital Region, Philippines'}, {'name': 'Justin Allister G. Ong, MD, MBA (he/him/his)', 'details': 'Fellow in Training;The Medical City;Pasig, National Capital Region, Philippines'}]",694219,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=347,
"Resident;Haga Teaching Hospital;The Hague, Zuid-Holland, Netherlands","Anna G. Kaal, MD (she/her/hers)","[{'name': 'Tara Nayak, None', 'details': 'University of Michigan Health/Michigan Medicine;Ann Arbor, Michigan, United States'}, {'name': 'Laraine Washer, MD', 'details': 'Assistant Professor;University of MIchigan;Ann Arbor, Michigan, United States'}, {'name': 'Anastasia Wasylyshyn, MD', 'details': 'Infectious Disease Fellow;University of Michigan;Ann Arbor, MI, United States'}, {'name': 'Ewout W. Steyerberg, PhD', 'details': 'Leiden University Medical Center;Leiden, Zuid-Holland, Netherlands'}, {'name': 'Prashant Mahajan, MD MPH MBA', 'details': 'University of Michigan;Ann Arbor, Michigan, United States'}, {'name': 'Cees van Nieuwkoop, PhD', 'details': 'Haga Teaching Hospital;The Hague, Zuid-Holland, Netherlands'}]",694742,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=348,
"Clinical Pharmacist Specialist, Infectious Diseases;Denver Health;Denver, Colorado, United States","Katherine C. Shihadeh, PharmD, BCIDP","[{'name': 'Michael Deaney, PharmD', 'details': 'Denver Health Medical Center;Denver, Colorado, United States'}, {'name': 'Alex Craig, PharmD', 'details': 'Sky Ridge/HealthOne;Denver, Colorado, United States'}, {'name': 'Margaret M. Cooper, PharmD, BCIDP', 'details': 'Clinical Pharmacy Specialist – Infectious Diseases;Denver Health Medical Center;Denver, Colorado, United States'}, {'name': 'Timothy C. Jenkins, MD (he/him/his)', 'details': 'Associate Professor;Denver Health;Denver, Colorado, United States'}]",695570,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=349,
"Fellow;National Taiwan University Hospital;Banciao, New Taipei, Taiwan (Republic of China)","Liang-En Hwang, MD, National Yang-Ming University (he/him/his)","[{'name': 'Yu-Chung Chuang, n/a', 'details': 'Visiting Staff;National Taiwan University Hospital and National Taiwan University College of Medicine;Taipei, Taipei, Taiwan'}, {'name': 'Yee-Chun Chen, MD, PhD', 'details': 'Professor;National Taiwan University Hospital;Taipei, Taipei, Taiwan (Republic of China)'}, {'name': 'Jann-Tay Wang, n/a', 'details': 'National Taiwan University Hospital;Taipei, Taipei, Taiwan'}, {'name': 'Shan-Chwen Chang, MD, PhD', 'details': 'Professor;National Taiwan University Hospital;Taipei, Taipei, Taiwan (Republic of China)'}]",694727,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=350,
"Medical student;Faculty of medicine, Khon Kaen University;Khon Kaen, Khon Kaen, Thailand",Kunakorn Thivakorakot (he/him/his),"[{'name': 'Atibordee Meesing, MD', 'details': 'Assistant professor;Khon Kaen university;A. Muang, Khon Kaen, Thailand'}, {'name': 'Supranee Phanthanawiboon, PhD', 'details': 'Faculty of Medicine, Khon Kaen University;Khon Kaen, Khon Kaen, Thailand'}]",694488,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=351,
"Student;Emory University School of Medicine;Atlanta, Georgia, United States","Maja Wichhart Donzo, BA (she/her/hers)","[{'name': 'Rebecca Anderson, BA', 'details': 'Emory University School of Medicine;Atlanta, Georgia, United States'}, {'name': 'Emily Eichenberger, MD, MHS (she/her/hers)', 'details': 'Assistant Professor of Medicine;Emory School of Medicine;Atlanta, Georgia, United States'}]",694763,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=352,
"Physician;Hospital Dr. Fernando Vélez Paiz;Managua, Managua, Nicaragua","Guillermo D. Porras-Cortés, MD (he/him/his)","[{'name': 'Anielka Solís-Altamirano, MD', 'details': 'Physician;Hospital Dr. Fernando Vélez Paiz;León, Leon, Nicaragua'}, {'name': 'Karina Colomer-Sánchez, CDPH', 'details': 'Bioanalyst;Hospital Dr. Fernando Vélez Paiz;Managua, Managua, Nicaragua'}, {'name': 'Kevin Gavarrete-Rivas, CDPH', 'details': 'Bioanalyst;Hospital Dr. Fernando Vélez Paiz;Managua, Managua, Nicaragua'}, {'name': 'Guillermo D. Porras-Cortés, MD (he/him/his)', 'details': 'Physician;Hospital Dr. Fernando Vélez Paiz;Managua, Managua, Nicaragua'}]",694498,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=353,
"MD;Department of Veterans Affairs;Durham, North Carolina, United States","Michael Dore, MD","[{'name': 'Ryan Duffy, MD', 'details': 'Department of Veterans Affairs;Durham, North Carolina, United States'}, {'name': 'Lily Huang, MD', 'details': 'Department of Veterans Affairs;Durham, North Carolina, United States'}, {'name': 'Laura Caputo, MD', 'details': 'Department of Veterans Affairs;Durham, North Carolina, United States'}, {'name': 'Sarah Cantrell, MLIS', 'details': 'Duke University;Durham, North Carolina, United States'}, {'name': 'Blair Glasgo, MD', 'details': 'Department of Veterans Affairs;Cincinatti, Ohio, United States'}]",694265,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=354,
"Infectious Diseases Resident;Vita-Salute San Raffaele University;Milan, Lombardia, Italy","Roberta Monardo, MD (she/her/hers)","[{'name': 'Larry Park, PhD', 'details': 'Associate Professor;Duke University Department of Medicine;Durham, North Carolina, United States'}, {'name': 'Felicia Ruffin, PhD, MSN', 'details': 'Research Program Leader;Duke University Medical Center;Durham, NC, United States'}, {'name': 'Rachel E. Korn, BS', 'details': 'Duke University Medical Center;Durham, North Carolina, United States'}, {'name': 'Parisa Farahani, MD MPH (she/her/hers)', 'details': 'Research Scholar;Department of Medicine, Duke University;Roanoke, Virginia, United States'}, {'name': 'Antonella Castagna, MD', 'details': 'Investigator;IRCCS San Raffaele Hospital and Vita-Salute San Raffaele University;Milano, Lombardia, Italy'}, {'name': 'Marco Ripa, MD', 'details': 'San Raffaele University Hospital;Milan, Lombardia, Italy'}, {'name': 'Vance G. Fowler, MD, MHS', 'details': 'Professor of Medicine;Duke University Medical Center;Durham, NC, United States'}, {'name': 'Joshua T. Thaden, MD, PhD (he/him/his)', 'details': 'Assistant Professor;Duke University School of Medicine;Durham, NC, United States'}, {'name': 'Stacey Maskarinec, MD, PHD', 'details': 'Assistant Professor;Duke University Medical Center;Durham, North Carolina, United States'}]",694658,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=355,
"Infectious diseases fellow;West Virginia University SOM and Hospitals;Morgan Town, West Virginia, United States","Muhammad Murtaza, MD (he/him/his)","[{'name': 'Catessa A. Howard, PharmD, BCIDP (she/her/hers)', 'details': 'Lead Clinical Pharmacy Specialist - Antimicrobial Stewardship;West Virginia University Medicine;Morgantown, West Virginia, United States'}, {'name': 'Jesse Thompson, PhD', 'details': 'Assistant professor;West Virginia University School of Medicine;MorganTown, West Virginia, United States'}, {'name': 'Michael B. Edmond, MD, MPH, MPA, MBA', 'details': 'Professor of Infectious Diseases and Chief Medical Officer;West Virginia University;Morgantown, West Virginia, United States'}, {'name': 'Michael Stevens, MD, MPH', 'details': 'West Virginia University;Morgantown, West Virginia, United States'}]",694549,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=356,
"PGY2 Pharmacy Resident;University of Kentucky HealthCare;Lexington, Kentucky, United States","Nicole Slain, PharmD (she/her/hers)","[{'name': 'Olivia Randazza, PharmD', 'details': 'Infectious Diseases Pharmacy Practice Lead;Atrium Health Wake Forest Baptist;Winston-Salem, North Carolina, United States'}, {'name': 'Alex D. Taylor, PharmD (she/her/hers)', 'details': 'Infectious Diseases Pharmacy Practice Lead;Atrium Health Wake Forest Baptist;Kernersville, North Carolina, United States'}, {'name': 'John C. Williamson, PharmD', 'details': 'Program Administrator, Infectious Diseases Research;Atrium Health Wake Forest Baptist;Winston-Salem, NC, United States'}, {'name': 'Charles Hartis, PharmD, CPP', 'details': 'Pharmacist Practice Lead;Atrium Health Wake Forest Baptist;Bermuda Run, North Carolina, United States'}, {'name': 'Michael E. DeWitt, MS', 'details': 'Research Data Scientist;Atrium Wake Forest Baptist Health/ Wake Forest University School of Medicine;Winston-Salem, North Carolina, United States'}, {'name': 'Elizabeth Palavecino, M.D.', 'details': 'Director Microbiology Laboratory;Wake Forest School of Medicine;Winston Salem, North Carolina, United States'}, {'name': 'Christopher Ohl, MD', 'details': 'Professor of Medicine;Wake Forest School of Medicine;Winston Salem, North Carolina, United States'}, {'name': 'Vera P. Luther, MD (she/her/hers)', 'details': 'Professor of Medicine;Wake Forest University School of Medicine;Winston Salem, NC, United States'}, {'name': 'Ryan C. Maves, MD', 'details': 'Professor of Medicine and Anesthesiology;Wake Forest University School of Medicine;Winston-Salem, North Carolina, United States'}, {'name': 'Mary Banoub, PharmD, BCIDP, CPP', 'details': 'Atrium Health Wake Forest Baptist Medical Center;Winston Salem, North Carolina, United States'}]",694707,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=357,
"Clinical Pharmacist;Cleveland Clinic Abu Dhabi;Abu Dhabi, Abu Dhabi, United Arab Emirates","Rama Nasef, PharmD., BCIDP (she/her/hers)","[{'name': 'Rania M. El Lababidi, Pharm.D., EMHA, BCPS (AQ-ID), AAHIVP', 'details': 'Senior Manager;Cleveland Clinic Abu Dhabi;Abu Dhabi, Abu Dhabi, United Arab Emirates'}, {'name': 'Claude Afif, MD', 'details': 'Infectious Diseases Physician;Cleveland Clinic Abu Dhabi;abudhabi, Abu Dhabi, United Arab Emirates'}]",694489,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=358,
"Fellow, Division of Infectious Diseases;University of North Carolina Chapel Hill;Chapel Hill, North Carolina, United States","Natalie A. Mackow, MD (she/her/hers)","[{'name': 'Wanying Shao, M.S.', 'details': 'George Washington University;Rockville, Maryland, United States'}, {'name': 'Lizhao Ge, MAS', 'details': 'Biostatistician;George Washington University;Rockville, Maryland, United States'}, {'name': 'Lauren Komarow, MS', 'details': 'Biostatistician;George Washington University;Rockville, Maryland, United States'}, {'name': 'Angelique E. Boutzoukas, MD', 'details': 'Fellow, Pediatric Infectious Diseases;Duke University School of Medicine;Durham, North Carolina, United States'}, {'name': 'Jianping Jiang, n/a', 'details': 'Center for Discovery and Innovation, Hackensack Meridian Health;Nutley, New Jersey, United States'}, {'name': 'Liang Chen, PH.D', 'details': 'SUNY-Buffalo;Buffalo, New York, United States'}, {'name': 'Erica Herc, MD', 'details': 'Senior Staff, Infectious Diseases;Henry Ford Hospital;Detroit, Michigan, United States'}, {'name': 'Yohei Doi, MD, PHD (he/him/his)', 'details': 'Professor of Medicine;University of Pittsburgh;Toyoake, Aichi, Japan'}, {'name': 'Cesar A. Arias, MD/PhD', 'details': 'Professor;Houston Methodist and Weill Cornell Medical College;Houston, TX, United States'}, {'name': 'Owen Albin, MD (he/him/his)', 'details': 'Assistant Professor;University of Michigan Medical School;Ann Arbor, MI, United States'}, {'name': 'Elie Saade, MD, MPH, FIDSA', 'details': 'Case Western Reserve University;Cleveland, Ohio, United States'}, {'name': 'Loren G. Miller, MD MPH', 'details': 'Lundquist Institute at Harbor-UCLA Medical Center;Torrance, California, United States'}, {'name': 'Jesse T. Jacob, MD', 'details': 'Professor of Medicine;Emory University School of Medicine;Atlanta, GA, United States'}, {'name': 'Michael J. Satlin, MD', 'details': 'Associate Professor;Weill Cornell Medicine;New York, NY, United States'}, {'name': 'Martin Krsak, MD, MSc, FASAM', 'details': 'Associate Professor of Medicine in the Infectious Diseases Division (Department of Medicine);University of Colorado School of Medicine, CO, United States'}, {'name': 'W. Charles Huskins, MD, MSc', 'details': 'Chair;Mayo Clinic;Rochester, MN, United States'}, {'name': 'Sorabh Dhar, MD, FIDSA', 'details': 'Professor of Medicine;Wayne State University/Detroit Medical Center, John Dingell VAMC;Detroit, Michigan, United States'}, {'name': 'Samuel A. Shelburne, MD', 'details': 'Professor;MD Anderson-University of Texas;Houston,, Texas, United States'}, {'name': 'Carol Hill, PhD', 'details': 'Duke Clinical Research Institute;Durham, North Carolina, United States'}, {'name': 'Kerryl Greenwood-Quaintance, MS', 'details': 'MS;Mayo Clinic;rochester, MN, United States'}, {'name': 'Suzannah Schmidt-Malan, MS', 'details': 'Senior Research Technologist;Mayo Clinic;Rochester, Minnesota, United States'}, {'name': 'Robin Patel, MD (she/her/hers)', 'details': 'Professor;Mayo Clinic;Rochester, MN, United States'}, {'name': 'Vance G. Fowler, MD, MHS', 'details': 'Professor of Medicine;Duke University Medical Center;Durham, NC, United States'}, {'name': 'Pranita Tamma, MD, MHS', 'details': 'Associate Professor;Johns Hopkins School of Medicine;Baltimore, MD, United States'}, {'name': 'Barry N. Kreiswirth, Ph.D.', 'details': 'Professor;Center for Discovery and Innovation, Hakensack Meridian Health;Nutley, New Jersey, United States'}, {'name': 'David van Duin, MD, PhD', 'details': 'Professor of Medicine;University of North Carolina at Chapel Hill;Chapel Hill, NC, United States'}]",694700,http://local.dev.meetings.com/IDWEEK/_viewPosterData.cfm?thisID=359,
